Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Blacklisted,Buy Box 🚚: Stock,"New, 3rd Party FBM 🚚: 30 days avg.",Prime Eligible (Buy Box),Buy Box : Current,Buy Box : Stock,New: Highest,Buy Bo : Current,Buy Box 🚚: Current,Unnamed: 13,Black_list,PID
"Birkenstock Men's Kyoto Suede Nubuck Sandals, Black, 11 Medium US",405664.0,655553.0,119.99,6.0,119.99,,,A38XYVTNERCEZ1,4.0,B09G8BJLCS,887759580515,887759580515,B0CJQ158NS,Birkenstock,,GB0887759580515,https://www.google.com/search?q=0887759580515+Birkenstock+Men%27s+Kyoto+Suede+Nubuck+Sandals%2C+Black%2C+11+Medium+US&tbm=shop,Y,https://www.amazon.com/dp/B09G8BJLCS?psc=1,"https://www.google.com/shopping/product/3439195720171262590/offers?q=0887759580515&prds=cid:3439195720171262590,cond:1",Not Found,,,,,N,,,$126.16,no,,,$267.40,,,,Y,none
"Birkenstock Super-Birki in Dark Green (Art:0068051) - 42, 11-11.5",206366.0,209993.0,,,99.95,,,A1C20BH4U0AX41,1.0,B000KCV7XC,4.01E+12,4013871267515,B00I84NRP0,Birkenstock,,GB4013871267515,https://www.google.com/search?q=4013871267515+Birkenstock+Super-Birki+in+Dark+Green+%28Art%3A0068051%29+-+42%2C+11-11.5&tbm=shop,N,https://www.amazon.com/dp/B000KCV7XC?psc=1,Not Found,Not Found,,,,,N,,,$99.95,no,,,$124.95,,,,Y,none
"Birkenstock Women's, Yao Slide Sandal - Narrow Width",391579.0,416312.0,114.95,1.0,114.95,,,-,0.0,B07FLQJF8N,802436367036,802436367036,B07GSFQWKQ,Birkenstock,,GB0802436367036,https://www.google.com/search?q=0802436367036+Birkenstock+Women%27s%2C+Yao+Slide+Sandal+-+Narrow+Width&tbm=shop,N,https://www.amazon.com/dp/B07FLQJF8N?psc=1,Not Found,Not Found,,,,,N,,,,yes,,,$114.95,,,,Y,none
Birkenstock Women's Yao Black Patent 38 N,348904.0,405387.0,,,177.79,,,ANZYNJW9IIF9C,1.0,B07FKB1CBR,886457918132,886457918132,B07GSFQWKQ,Birkenstock,,GB0886457918132,https://www.google.com/search?q=0886457918132+Birkenstock+Women%27s+Yao+Black+Patent+38+N&tbm=shop,N,https://www.amazon.com/dp/B07FKB1CBR?psc=1,Not Found,Not Found,,,,,N,,,$177.79,no,,,$185.18,,,,Y,none
"Birkenstock Womens Yao Sandal, Mineral Nubuck, Size 41 N EU (10-10.5 N US Women)",372601.0,418398.0,90.95,8.0,90.95,,,A1C20BH4U0AX41,1.0,B07VDMNPTC,802436952294,802436952294,B07GSFQWKQ,Birkenstock,,GB0802436952294,https://www.google.com/search?q=0802436952294+Birkenstock+Womens+Yao+Sandal%2C+Mineral+Nubuck%2C+Size+41+N+EU+%2810-10.5+N+US+Women%29&tbm=shop,Y,https://www.amazon.com/dp/B07VDMNPTC?psc=1,"https://www.google.com/shopping/product/17056502640586523464/offers?q=0802436952294&prds=cid:17056502640586523464,cond:1",Not Found,,,,,N,,,$90.95,no,,,$135.00,,,,Y,none
Birkenstock Women's Yao Hex Metallic Silver Birko-Flor 37 N,370192.0,386221.0,109.0,4.0,109.0,,,A1C20BH4U0AX41,2.0,B07FKG4SHF,802436411463,802436411463,B07GSFQWKQ,Birkenstock,,GB0802436411463,https://www.google.com/search?q=0802436411463+Birkenstock+Women%27s+Yao+Hex+Metallic+Silver+Birko-Flor+37+N&tbm=shop,Y,https://www.amazon.com/dp/B07FKG4SHF?psc=1,"https://www.google.com/shopping/product/3941412845173670242/offers?q=0802436411463&prds=cid:3941412845173670242,cond:1",Not Found,,,,,N,,,$109.00,no,,,$198.41,,,,Y,none
"Birkenstock Womens Yao Sandal, Mineral Nubuck, Size 40 N EU (9-9.5 N US Women)",385260.0,393213.0,109.0,18.0,109.0,,,A1C20BH4U0AX41,1.0,B07VFQNDDB,802436952263,802436952263,B07GSFQWKQ,Birkenstock,,GB0802436952263,https://www.google.com/search?q=0802436952263+Birkenstock+Womens+Yao+Sandal%2C+Mineral+Nubuck%2C+Size+40+N+EU+%289-9.5+N+US+Women%29&tbm=shop,N,https://www.amazon.com/dp/B07VFQNDDB?psc=1,Not Found,Not Found,,,,,N,,,$109.00,no,,,$135.00,,,,Y,none
Birkenstock Yao Mocha Birkibuc EU 36 (US Women's 5-5.5) Regular,385704.0,389200.0,109.0,1.0,109.0,,,A1C20BH4U0AX41,1.0,B07FKDHGG4,802436363762,802436363762,B07GSFQWKQ,Birkenstock,,GB0802436363762,https://www.google.com/search?q=0802436363762+Birkenstock+Yao+Mocha+Birkibuc+EU+36+%28US+Women%27s+5-5.5%29+Regular&tbm=shop,N,https://www.amazon.com/dp/B07FKDHGG4?psc=1,Not Found,Not Found,,,,,N,,,$109.00,no,,,$135.00,,,,Y,none
Birkenstock Women's Yao Super NAT Flowers Wht 36 N,385317.0,391922.0,109.0,3.0,109.0,,,A1C20BH4U0AX41,1.0,B07VGZZ9Q4,822698121108,822698121108,B07GSFQWKQ,Birkenstock,,GB0822698121108,https://www.google.com/search?q=0822698121108+Birkenstock+Women%27s+Yao+Super+NAT+Flowers+Wht+36+N&tbm=shop,N,https://www.amazon.com/dp/B07VGZZ9Q4?psc=1,Not Found,Not Found,,,,,N,,,$109.00,no,,,$110.00,,,,Y,none
Birkenstock Women's Yao Washed Metallic Aqua 38 N,412312.0,377985.0,109.0,7.0,109.0,,,A1C20BH4U0AX41,1.0,B07FKK1R99,802436414082,802436414082,B07GSFQWKQ,Birkenstock,,GB0802436414082,https://www.google.com/search?q=0802436414082+Birkenstock+Women%27s+Yao+Washed+Metallic+Aqua+38+N&tbm=shop,N,https://www.amazon.com/dp/B07FKK1R99?psc=1,Not Found,Not Found,,,,,N,,,$109.00,no,,,$135.00,,,,Y,none
Birkenstock Women's Yao Sand Patent 38 N,390471.0,388362.0,99.95,1.0,99.95,,,A101HL22JXT88V,1.0,B07FKFZGHD,886457993207,886457993207,B07GSFQWKQ,Birkenstock,,GB0886457993207,https://www.google.com/search?q=0886457993207+Birkenstock+Women%27s+Yao+Sand+Patent+38+N&tbm=shop,N,https://www.amazon.com/dp/B07FKFZGHD?psc=1,Not Found,Not Found,,,,,N,,,$99.95,no,,,$99.95,,,,Y,none
Birkenstock Yao Old Rose Patent Birko-Flor™ 38 (US Women's 7-7.5) Narrow,411068.0,385501.0,110.0,6.0,110.0,,,A1C20BH4U0AX41,1.0,B07VJWXPRG,802436945722,802436945722,B07GSFQWKQ,Birkenstock,,GB0802436945722,https://www.google.com/search?q=0802436945722+Birkenstock+Yao+Old+Rose+Patent+Birko-Flor%E2%84%A2+38+%28US+Women%27s+7-7.5%29+Narrow&tbm=shop,Y,https://www.amazon.com/dp/B07VJWXPRG?psc=1,"https://www.google.com/shopping/product/5870759573798623242/offers?q=0802436945722&prds=cid:5870759573798623242,cond:1",Sole Desire,119.95,203.91,226.71,,N,,,$110.00,no,,,$135.00,,,,Y,none
"Birkenstock Womens Yao Sandals, White, Size 42 N EU (11-11.5 N US Women)",360434.0,380092.0,,,177.79,,,ANZYNJW9IIF9C,1.0,B07FKGDHCG,802436413399,802436413399,B07GSFQWKQ,Birkenstock,,GB0802436413399,https://www.google.com/search?q=0802436413399+Birkenstock+Womens+Yao+Sandals%2C+White%2C+Size+42+N+EU+%2811-11.5+N+US+Women%29&tbm=shop,N,https://www.amazon.com/dp/B07FKGDHCG?psc=1,Not Found,Not Found,,,,,N,,,$177.79,no,,,$188.37,,,,Y,none
"Birkenstock Men's Clogs, Schwarz, 8 US Black",172557.0,234318.0,97.47,15.0,97.47,,,-,1.0,B0013WB9BS,4.01E+12,4013871084969,B00GV3VBWG,Birkenstock,,GB4013871084969,https://www.google.com/search?q=4013871084969+Birkenstock+Men%27s+Clogs%2C+Schwarz%2C+8+US+Black&tbm=shop,N,https://www.amazon.com/dp/B0013WB9BS?psc=1,Not Found,Not Found,,,,,N,,,$111.42,no,,,$264.95,,,,Y,none
Birkenstock Arizona Split Hex Sandcastle/Faded Khaki Nubuck EU 40 (US Women's 9-9.5) Narrow,443865.0,389041.0,170.0,8.0,170.0,,,A1C20BH4U0AX41,2.0,B08P271QGT,822698824610,822698824610,B0C85W1V2V,Birkenstock,,GB0822698824610,https://www.google.com/search?q=0822698824610+Birkenstock+Arizona+Split+Hex+Sandcastle%2FFaded+Khaki+Nubuck+EU+40+%28US+Women%27s+9-9.5%29+Narrow&tbm=shop,N,https://www.amazon.com/dp/B08P271QGT?psc=1,Not Found,Not Found,,,,,N,,,$170.00,no,,,$175.00,,,,Y,none
Birkenstock Unisex Arizona Essentials EVA Sandal Multi Watermelon 37 N EU,396664.0,380300.0,,,79.99,,,A24FVLFTW1Z1C1,1.0,B0977R4VCW,886454707562,886454707562,B0C85W1V2V,Birkenstock,,GB0886454707562,https://www.google.com/search?q=0886454707562+Birkenstock+Unisex+Arizona+Essentials+EVA+Sandal+Multi+Watermelon+37+N+EU&tbm=shop,Y,https://www.amazon.com/dp/B0977R4VCW?psc=1,"https://www.google.com/shopping/product/12179225742028148141/offers?q=0886454707562&prds=cid:12179225742028148141,cond:1",Famous Footwear,64.99,110.48,122.83,,N,,,$79.99,yes,,,$129.90,,,,Y,none
"Birkenstock Women's Sandals, Brown (Dunkelbraun), 12 UK Narrow",240163.0,308046.0,,,174.36,,,A2PM2LFH21HQNQ,1.0,B003AQCR4I,4.01E+12,4013871053484,B003AM95EM,Birkenstock,,GB4013871053484,https://www.google.com/search?q=4013871053484+Birkenstock+Women%27s+Sandals%2C+Brown+%28Dunkelbraun%29%2C+12+UK+Narrow&tbm=shop,N,https://www.amazon.com/dp/B003AQCR4I?psc=1,"https://www.google.com/shopping/product/9926832670439519180/offers?q=4013871053484&prds=cid:9926832670439519180,cond:1",Childrensalon,63.99,108.78,120.94,173.36,Y,,,$198.16,no,,,$199.95,,,,Y,none
"Birkenstock Women's Sandals, Brown (Dunkelbraun), 12-12.5 N US Women / 10-10.5 N US Men",250829.0,290073.0,,,174.36,,,A2PM2LFH21HQNQ,3.0,B003AQCQZS,"4013871062264, 0736399064032","4013871062264, 0736399064032",B003AM95EM,Birkenstock,,"GB4013871062264, 0736399064032",https://www.google.com/search?q=4013871062264%2C+0736399064032+Birkenstock+Women%27s+Sandals%2C+Brown+%28Dunkelbraun%29%2C+12-12.5+N+US+Women+%2F+10-10.5+N+US+Men&tbm=shop,N,https://www.amazon.com/dp/B003AQCQZS?psc=1,Not Found,Not Found,,,,,N,,,$197.33,no,,,$317.32,,,,Y,none
"Birkenstock Milano Smooth Leather, Unisex Adults' Sandals, Brown (Dunkelbraun), 4.5 UK Slim",255658.0,274377.0,,,174.36,,,A2PM2LFH21HQNQ,1.0,B003AQCQTY,"4013871019312, 0736399019438","4013871019312, 0736399019438",B003AM95EM,Birkenstock,,"GB4013871019312, 0736399019438",https://www.google.com/search?q=4013871019312%2C+0736399019438+Birkenstock+Milano+Smooth+Leather%2C+Unisex+Adults%27+Sandals%2C+Brown+%28Dunkelbraun%29%2C+4.5+UK+Slim&tbm=shop,N,https://www.amazon.com/dp/B003AQCQTY?psc=1,Not Found,Not Found,,,,,N,,,$198.16,no,,,$415.83,,,,Y,none
Birkenstock Unisex Milano BS Birko-Flor Desert Soil Gray Taupe Sandals 9 W / 7 M US,278608.0,278608.0,110.23,1.0,110.23,,,AB8PP5ABO5Y5C,1.0,B0C3B5FVB8,4.06E+12,4061417616280,B003AM95EM,Birkenstock,,GB4061417616280,https://www.google.com/search?q=4061417616280+Birkenstock+Unisex+Milano+BS+Birko-Flor+Desert+Soil+Gray+Taupe+Sandals+9+W+%2F+7+M+US&tbm=shop,N,https://www.amazon.com/dp/B0C3B5FVB8?psc=1,Not Found,Not Found,,,,,N,,,$112.08,no,,,$113.73,,,,Y,none
