Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Blacklisted,Curr_Listed?,Buy Box ðŸšš: Stock,"New, 3rd Party FBM ðŸšš: 30 days avg.",Prime Eligible (Buy Box),Buy Box : Current,Buy Box : Stock,Buy Bo : Current,Buy Box ðŸšš: Current,Curr_match,Buy Box 🚚: Stock,"New, 3rd Party FBM 🚚: 30 days avg.",Buy Box 🚚: Current
"Steve Madden Women's Cobra Fashion Boot, Black Leather, 8",293630.0,296217.0,146.7,2.0,146.7,255.63,,,A1195MQ583AB5O,2.0,B0961DYD96,195945438497,195945438497,B09LC6B63N,Steve Madden,,GB195945438497,https://www.google.com/search?q=195945438497+Steve+Madden+Women%27s+Cobra+Fashion+Boot%2C+Black+Leather%2C+8&tbm=shop,Y,https://www.amazon.com/dp/B0961DYD96?psc=1,"https://www.google.com/shopping/product/11842444058184689209/offers?q=195945438497&prds=cid:11842444058184689209,cond:1",,,,,,N,V,0.0,,$143.67,no,,,,,0.0,,,
"Steve Madden Women's Cobra Fashion Boot, Black Leather, 9",292362.0,302232.0,159.95,1.0,146.7,169.95,,,A1195MQ583AB5O,2.0,B096146LQB,195945438510,195945438510,B09LC6B63N,Steve Madden,,GB195945438510,https://www.google.com/search?q=195945438510+Steve+Madden+Women%27s+Cobra+Fashion+Boot%2C+Black+Leather%2C+9&tbm=shop,Y,https://www.amazon.com/dp/B096146LQB?psc=1,"https://www.google.com/shopping/product/14751439075555956916/offers?q=195945438510&prds=cid:14751439075555956916,cond:1",eBay,70.94,120.598,132.6578,158.95,Y,V,1.0,,$125.57,yes,,,,,0.0,,,
"Steve Madden Women's Cobra Fashion Boot, Black, 8.5",303222.0,299593.0,99.99,35.0,99.99,199.95,,,A1G9RBEK6CB71F,1.0,B09SQGC6NB,196361859149,196361859149,B09LC6B63N,Steve Madden,,GB196361859149,https://www.google.com/search?q=196361859149+Steve+Madden+Women%27s+Cobra+Fashion+Boot%2C+Black%2C+8.5&tbm=shop,Y,https://www.amazon.com/dp/B09SQGC6NB?psc=1,"https://www.google.com/shopping/product/11548109261542678203/offers?q=196361859149&prds=cid:11548109261542678203,cond:1",,,,,,N,V,0.0,,$88.53,no,,,,,0.0,,,
"Steve Madden Women's Cray Fashion Boot, Black, 7.5",620926.0,828251.0,,1.0,104.39,283.98,,,A24V851RG6UNB7,1.0,B09WC65MRJ,196829009130,196829009130,B0C6LK56F5,Steve Madden,,GB196829009130,https://www.google.com/search?q=196829009130+Steve+Madden+Women%27s+Cray+Fashion+Boot%2C+Black%2C+7.5&tbm=shop,Y,https://www.amazon.com/dp/B09WC65MRJ?psc=1,"https://www.google.com/shopping/product/7230569651454017006/offers?q=196829009130&prds=cid:7230569651454017006,cond:1",Sears - BHFO,92.74,157.658,173.4238,173.4238,Y,V,1.0,,$118.88,no,,,,,0.0,,,
"Steve Madden Women's Dalia Mule, Black, 6.5",371231.0,340275.0,,,122.91,122.91,,,ANZYNJW9IIF9C,,B0C43Z78QH,197369356456,197369356456,B0C65YGVT4,Steve Madden,,GB197369356456,https://www.google.com/search?q=197369356456+Steve+Madden+Women%27s+Dalia+Mule%2C+Black%2C+6.5&tbm=shop,Y,https://www.amazon.com/dp/B0C43Z78QH?psc=1,"https://www.google.com/shopping/product/12000688158539283896/offers?q=197369356456&prds=cid:12000688158539283896,cond:1",Belk,72.3,122.91,135.201,122.91,Y,V,1.0,,,yes,,,,,0.0,,,
"Steve Madden Women's Dina Flat Sandal, Rhinestone, 7",84928.0,106515.0,,,,99.84,,,-,,B09Z35F4YT,196361293660,196361293660,B0B2HSX8BT,Steve Madden,,GB196361293660,https://www.google.com/search?q=196361293660+Steve+Madden+Women%27s+Dina+Flat+Sandal%2C+Rhinestone%2C+7&tbm=shop,Y,https://www.amazon.com/dp/B09Z35F4YT?psc=1,"https://www.google.com/shopping/product/5881577124274201546/offers?q=196361293660&prds=cid:5881577124274201546,cond:1",,,,,,N,V,0.0,,$34.53,no,,,,,0.0,,,
"Steve Madden Women's Gills Sneaker, Grey Suede, 9.5",56564.0,59946.0,,,93.13,158.54,,,-,,B01KPKQNAK,190640434188,190640434188,B07TB1RRK7,Steve Madden,,GB190640434188,https://www.google.com/search?q=190640434188+Steve+Madden+Women%27s+Gills+Sneaker%2C+Grey+Suede%2C+9.5&tbm=shop,Y,https://www.amazon.com/dp/B01KPKQNAK?psc=1,"https://www.google.com/shopping/product/10197110415125043229/offers?q=190640434188&prds=cid:10197110415125043229,cond:1",eBay - beachfreak128,49.8,84.66,93.126,93.126,Y,V,1.0,,$100.37,yes,,,,,0.0,,,
"Steve Madden Women's Grace Slide Sandal, Rhinestone, 8 M US",38130.0,76769.0,59.94,11.0,59.94,64.96,,,-,0.0,B083D21Q6K,194068527095,194068527095,B08815LZQS,Steve Madden,,GB194068527095,https://www.google.com/search?q=194068527095+Steve+Madden+Women%27s+Grace+Slide+Sandal%2C+Rhinestone%2C+8+M+US&tbm=shop,Y,https://www.amazon.com/dp/B083D21Q6K?psc=1,"https://www.google.com/shopping/product/9088826450280190344/offers?q=194068527095&prds=cid:9088826450280190344,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,,
"Steve Madden Women's Hayward Western Boot, White Leather, 6.5",318112.0,363174.0,,,235.44,275.63,,,-,1.0,B09SMX5SBD,195945695654,195945695654,B09YJHJYBK,Steve Madden,,GB195945695654,https://www.google.com/search?q=195945695654+Steve+Madden+Women%27s+Hayward+Western+Boot%2C+White+Leather%2C+6.5&tbm=shop,Y,https://www.amazon.com/dp/B09SMX5SBD?psc=1,"https://www.google.com/shopping/product/1321296798754329268/offers?q=195945695654&prds=cid:1321296798754329268,cond:1",,,,,,N,V,0.0,,$233.44,yes,,,,,0.0,,,
"Steve Madden Women's Hayward Western Boot, White Leather, 8.5",400644.0,406290.0,,,,277.04,,,-,1.0,B09SN5JMCL,195945695777,195945695777,B09YJHJYBK,Steve Madden,,GB195945695777,https://www.google.com/search?q=195945695777+Steve+Madden+Women%27s+Hayward+Western+Boot%2C+White+Leather%2C+8.5&tbm=shop,Y,https://www.amazon.com/dp/B09SN5JMCL?psc=1,"https://www.google.com/shopping/product/3714106291724040712/offers?q=195945695777&prds=cid:3714106291724040712,cond:1",Steve Madden,129.95,220.915,243.0065,243.0065,Y,V,1.0,,,yes,,,,,0.0,,,
"Steve Madden Women's Hoopla Ankle Boot, Chestnut, 8",307987.0,258810.0,,,,152.15,,,-,1.0,B0961GJK2L,195945605417,195945605417,B0962LD7HC,Steve Madden,,GB195945605417,https://www.google.com/search?q=195945605417+Steve+Madden+Women%27s+Hoopla+Ankle+Boot%2C+Chestnut%2C+8&tbm=shop,Y,https://www.amazon.com/dp/B0961GJK2L?psc=1,"https://www.google.com/shopping/product/1740544785920675963/offers?q=195945605417&prds=cid:1740544785920675963,cond:1",,,,,,N,V,0.0,,$152.15,yes,,,,,0.0,,,
"Steve Madden Women's Howler Ankle Boot, Tan Suede Fur, 8",55563.0,30714.0,89.96,6.0,89.96,109.96,,,-,0.0,B0C59M7DGH,197369561195,197369561195,B0BMN9C5R4,Steve Madden,,GB197369561195,https://www.google.com/search?q=197369561195+Steve+Madden+Women%27s+Howler+Ankle+Boot%2C+Tan+Suede+Fur%2C+8&tbm=shop,Y,https://www.amazon.com/dp/B0C59M7DGH?psc=1,"https://www.google.com/shopping/product/2361934173219544622/offers?q=197369561195&prds=cid:2361934173219544622,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,,
Steve Madden Women's Irenee Sandal Dusty Silver 6 M,36736.0,43839.0,,1.0,,79.95,,,-,0.0,B09MKG1VMT,196361038803,196361038803,B0CS3ZGJ4V,Steve Madden,,GB196361038803,https://www.google.com/search?q=196361038803+Steve+Madden+Women%27s+Irenee+Sandal+Dusty+Silver+6+M&tbm=shop,Y,https://www.amazon.com/dp/B09MKG1VMT?psc=1,"https://www.google.com/shopping/product/16736249385535532992/offers?q=196361038803&prds=cid:16736249385535532992,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,,
"Steve Madden Women's Lakeshore Sandal, Pink Raffia, 7.5",334740.0,682830.0,79.95,,79.95,79.99,,,-,0.0,B0CBSR1GS2,197369735510,197369735510,B0CBSX46DS,Steve Madden,,GB197369735510,https://www.google.com/search?q=197369735510+Steve+Madden+Women%27s+Lakeshore+Sandal%2C+Pink+Raffia%2C+7.5&tbm=shop,Y,https://www.amazon.com/dp/B0CBSR1GS2?psc=1,"https://www.google.com/shopping/product/16680132750544732406/offers?q=197369735510&prds=cid:16680132750544732406,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,,
"Steve Madden Women's Lasso Western Boot, Green Leather, 6",142991.0,137116.0,,,,329.97,,,-,,B0B5WFDRKR,196361414317,196361414317,B09M7YQS44,Steve Madden,,GB196361414317,https://www.google.com/search?q=196361414317+Steve+Madden+Women%27s+Lasso+Western+Boot%2C+Green+Leather%2C+6&tbm=shop,Y,https://www.amazon.com/dp/B0B5WFDRKR?psc=1,"https://www.google.com/shopping/product/7697076886833555545/offers?q=196361414317&prds=cid:7697076886833555545,cond:1",,,,,,N,V,0.0,,$245.44,yes,,,,,0.0,,,
"Steve Madden Women's Lessa Heeled Sandal, Bone Patent, 6.5",84389.0,67594.0,,,,205.14,,,-,1.0,B095MTNZL1,195945280492,195945280492,B0CW1XQLJ7,Steve Madden,,GB195945280492,https://www.google.com/search?q=195945280492+Steve+Madden+Women%27s+Lessa+Heeled+Sandal%2C+Bone+Patent%2C+6.5&tbm=shop,Y,https://www.amazon.com/dp/B095MTNZL1?psc=1,"https://www.google.com/shopping/product/16980433225078683964/offers?q=195945280492&prds=cid:16980433225078683964,cond:1",Steve Madden,109.95,186.915,205.6065,205.14,Y,V,1.0,,$203.44,no,,,,,0.0,,,
"Steve Madden Women's Lessa Pump, Gold, 9",77520.0,67611.0,,,,224.99,,,-,,B097Q7KFW5,195945733691,195945733691,B0CW1XQLJ7,Steve Madden,,GB195945733691,https://www.google.com/search?q=195945733691+Steve+Madden+Women%27s+Lessa+Pump%2C+Gold%2C+9&tbm=shop,Y,https://www.amazon.com/dp/B097Q7KFW5?psc=1,"https://www.google.com/shopping/product/9091573927669573467/offers?q=195945733691&prds=cid:9091573927669573467,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,,
"Steve Madden Women's Lilah Heeled Sandal, Black Rhinestone, 6.5",30090.0,29559.0,,,141.17,141.17,,,-,0.0,B097NQ58YF,195945563731,195945563731,B0C7JLPTTK,Steve Madden,,GB195945563731,https://www.google.com/search?q=195945563731+Steve+Madden+Women%27s+Lilah+Heeled+Sandal%2C+Black+Rhinestone%2C+6.5&tbm=shop,Y,https://www.amazon.com/dp/B097NQ58YF?psc=1,"https://www.google.com/shopping/product/7570699447747969368/offers?q=195945563731&prds=cid:7570699447747969368,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,,
"Steve Madden Women's Lilah Heeled Sandal, Bone Croco, 8",30778.0,29585.0,66.0,2.0,66.0,131.79,,,A1195MQ583AB5O,1.0,B09GWCHLKY,196361067421,196361067421,B0C7JLPTTK,Steve Madden,,GB196361067421,https://www.google.com/search?q=196361067421+Steve+Madden+Women%27s+Lilah+Heeled+Sandal%2C+Bone+Croco%2C+8&tbm=shop,Y,https://www.amazon.com/dp/B09GWCHLKY?psc=1,"https://www.google.com/shopping/product/1740779558116138683/offers?q=196361067421&prds=cid:1740779558116138683,cond:1",,,,,,N,V,0.0,,$62.96,yes,,,,,0.0,,,
"Steve Madden Women's Lipa Pump, White, 8",484605.0,554769.0,,,80.39,99.95,,,A24V851RG6UNB7,2.0,B099TTTF9T,195945022672,195945022672,B093PLPV16,Steve Madden,,GB195945022672,https://www.google.com/search?q=195945022672+Steve+Madden+Women%27s+Lipa+Pump%2C+White%2C+8&tbm=shop,Y,https://www.amazon.com/dp/B099TTTF9T?psc=1,"https://www.google.com/shopping/product/2779295714540883845/offers?q=195945022672&prds=cid:2779295714540883845,cond:1",Shop Premium Outlets,81.99,139.383,153.3213,139.383,Y,V,1.0,,$97.13,no,,,,,0.0,,,
"Steve Madden Women's Lizah Knee High Boot, Camel, 6",108523.0,58704.0,99.99,,99.99,189.98,,,-,0.0,B0BXQZF48T,197369331095,197369331095,B0BJ1HJL9S,Steve Madden,,GB197369331095,https://www.google.com/search?q=197369331095+Steve+Madden+Women%27s+Lizah+Knee+High+Boot%2C+Camel%2C+6&tbm=shop,Y,https://www.amazon.com/dp/B0BXQZF48T?psc=1,"https://www.google.com/shopping/product/11262114863703984714/offers?q=197369331095&prds=cid:11262114863703984714,cond:1",,,,,,N,V,0.0,,$99.12,yes,,,,,0.0,,,
