Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"Birkenstock Women's Gizeh Sandal, Shiny Python Eggshell/Gold, 4.5",591209,617213,$110.00 ,2,$110.00 ,$142.95 ,$110.00 ,A1C20BH4U0AX41,1,B08KWK4VNS,4.06142E+12,4061416118631,B007IGOOUQ,Birkenstock,no
Birkenstock 1021355136 Gizeh Braid Cg Oil LTR R 36,584866,764593,$134.95 ,1,$134.95 ,$243.09 ,$185.00 ,A1C20BH4U0AX41,1,B09N9WRDMZ,0887759276616,0887759276616,B007IGOOUQ,Birkenstock,yes
BIRKENSTOCK Boston Women's Sandals Light Rose 37,1630014,1211143,,,$322.95 ,$322.95 ,$274.56 ,A3LKHEMJ2S42DV,1,B0CDLYJ138,4.06142E+12,4061418891860,B0BX77YHVJ,Birkenstock,no
Birkenstock Women's Buckley Leather Silver 38 N,670961,678478,$150.00 ,1,$150.00 ,$169.00 ,$150.00 ,A1C20BH4U0AX41,1,B08P3S9SJ4,0822698858806,0822698858806,B0BZQS8PKW,Birkenstock,no
Birkenstock 1017826341 Buckley - Black Sd N 41,676743,660517,$150.00 ,2,$150.00 ,$276.35 ,$194.43 ,A1C20BH4U0AX41,3,B087ZZ61ML,0822698425398,0822698425398,B0BZQS8PKW,Birkenstock,no
Birkenstock Women's Buckley Nubuck Embossed Soft Pink 36 N,675631,659815,,,$150.00 ,$155.96 ,$150.00 ,A1C20BH4U0AX41,1,B08P3R6M46,0822698893067,0822698893067,B0BZQS8PKW,Birkenstock,no
Birkenstock Womens Madrid Dark Brown Birko-Flor Summer Sandals - Dark Brown - 4-4.5,384051,466027,$161.53 ,1,$130.00 ,$214.23 ,$130.00 ,A12KNO3ZK71NL,2,B07MZG7YR1,4.04071E+12,4040714154046,B073GX55DY,Birkenstock,no
"Birkenstock BIRK-552111 Arizona Leather Sandals, Black, 43 (US Men's 10)",390470,470744,$115.97 ,2,$90.98 ,$200.99 ,$116.77 ,A21OTJ624ZJGCI,1,B0057UE2KM,4.04071E+12,4040714996929,B073GX55DY,Birkenstock,no
Birkenstock Arizona EVA Purple Fog Narrow EU 41,1141981,1466336,$73.57 ,1,$73.57 ,$206.65 ,$79.95 ,A1C20BH4U0AX41,1,B08F572PRK,4.04373E+12,4043734967160,B098V9Q522,Birkenstock,yes
Birkenstock 1022291141 Arizona V Eggshell Tx R 41,1015182,1133400,$109.95 ,1,$109.95 ,$205.21 ,$203.67 ,-,1,B09N58QBXY,0887759569534,0887759569534,B0C5N9T86W,Birkenstock,no
