Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: UPC,Prime Eligible (Buy Box),Parent ASIN,Brand,Product Codes: EAN,PID,Black_list
Brooks Draft Hybrid Gloves ICY Grey/Black/Nightlife SM,,1834737,$91.22 ,1,$91.22 ,$110.26 ,$91.58 ,A1B43WMIJ58I3U,2,B099WKX7L4,1.90341E+11,no,,Brooks,1.90341E+11,9094088282655550834,V
Brooks Women's Ghost 15 Neutral Running Shoe - White/Oyster/Oriole - 6 Medium,50,72,$149.54 ,2,$134.59 ,$139.95 ,$147.27 ,-,1,B0BHXT8GRT,1.95394E+11,no,B0CKKBPDKF,Brooks,1.95394E+11,9090244107585754745,V
Brooks Women's Ghost 15 Neutral Running Shoe - Black/Rosegold - 6.5 Medium,49,71,,,$199.00 ,$199.99 ,$180.79 ,A16W1AC2W5HENZ,1,B0C2MQGGKF,1.95394E+11,yes,B0CKKBPDKF,Brooks,1.95394E+11,902452921700066841,V
Brooks Women's Ghost 15 Neutral Running Shoe - Peacoat/Blue/Pink - 6.5 Medium,48,71,,,$150.72 ,$199.99 ,$141.94 ,A127T0T42QK19Q,2,B09RRZLTKZ,1.95394E+11,no,B0CKKBPDKF,Brooks,1.95394E+11,9017676460511820811,V
Brooks Men’s Hyperion GTS Supportive Running Shoe - Green Gecko/Red Orange/White - 10 Medium,194026,179979,,,$207.21 ,$236.69 ,$207.21 ,A1MLP04OASBI2Z,1,B0BMTGKSQ9,1.95394E+11,no,B0BMTBWQ57,Brooks,1.95394E+11,901092845814451334,V
Brooks Women's Ghost 14 Neutral Running Shoe - Black/Pink/Yucca - 9 Medium,12187,8096,$149.98 ,9,$139.99 ,$199.90 ,$155.23 ,A114I0OUP3FTFB,4,B08QV7ZXSG,1.90341E+11,no,B0BCQT2247,Brooks,1.90341E+11,9000380708964701804,V
"Brooks Method 8"" Short Tights Black SM (US Women's 4-6) 8",1169023,785949,$64.00 ,2,$64.00 ,$64.00 ,$54.44 ,ACNNIJ7GNQDF9,1,B09L6XFK2T,1.95394E+11,no,,Brooks,1.95394E+11,8997962597538063913,V
"Brooks Women's 3 Pocket Sports Bra for Running, Workouts & Sports - Blue Ash/Ice Blue/Navy - 40 DD/E",45921,50419,$48.00 ,1,$48.00 ,$74.95 ,$45.77 ,AKO29ZEZHEGNU,1,B0B1YFY62M,1.95394E+11,no,B08R7ZZJ9T,Brooks,1.95394E+11,8988418237113607067,V
Brooks Men's Adrenaline GTS 22 Supportive Running Shoe - Alloy/Grey/Black - 11 Narrow,707,483,$102.44 ,,$102.00 ,$150.00 ,$140.34 ,-,1,B09FHJKYVX,1.90341E+11,no,B08QTW6QFH,Brooks,1.90341E+11,8968461955532425968,V
Brooks Women's Glycerin GTS 20 Supportive Running Shoe - Black/Red/Opal - 7.5 Medium,4129,4271,,,$177.85 ,$214.00 ,$117.38 ,A1MLP04OASBI2Z,1,B09RRKB5Y8,1.95394E+11,yes,B0BMZMYKQ1,Brooks,1.95394E+11,8960239228606401079,V
Brooks Women's Glycerin 20 Neutral Running Shoe - Black/Lilac/White - 9 Medium,572,696,,,,$226.71 ,$163.70 ,-,,B0BHZSFZPW,1.95394E+11,yes,B0CCYD3D49,Brooks,1.95394E+11,8930280161341756707,V
Brooks Men's Ghost 15 Neutral Running Shoe - Flintstone/Peacoat/Oak - 8 Wide,110,192,,,$199.10 ,$220.00 ,$198.42 ,A1MLP04OASBI2Z,1,B09RRSVQZJ,1.95394E+11,yes,B09RRZXQHS,Brooks,1.95394E+11,8920833710940061687,V
Brooks Revel 5 Black/Grey/Blue 11.5 D (M),46775,36510,$74.99 ,12,$74.99 ,$141.95 ,$74.99 ,AHPEZE99JPMOD,3,B08R12K1QB,1.90341E+11,no,B08R129F7Z,Brooks,1.90341E+11,8876681713852462743,V
Brooks Women's Hyperion Tempo Road Running Shoe - Ice Flow/Navy/Pink - 10 Medium,10746,9472,,,$184.40 ,$259.99 ,$142.80 ,A1MLP04OASBI2Z,1,B087W2VYZK,1.90341E+11,no,B089TMQRTF,Brooks,1.90341E+11,8870694147221054584,V
