Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Blacklisted,Curr_Listed?
"Brooks Women's Zip 2.0 Sports Bra for Running, Workouts & Sports - Ice Blue/Vivid Teal - 40 C/D",177433.0,168865.0,$43.57 ,1.0,$43.57 ,$132.28 ,,,AKO29ZEZHEGNU,1.0,B0B1YDCJLY,195394000000.0,195394000000.0,B09HRHGJQY,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%27s+Zip+2.0+Sports+Bra+for+Running%2C+Workouts+%26+Sports+-+Ice+Blue%2FVivid+Teal+-+40+C%2FD&tbm=shop,Y,https://www.amazon.com/dp/B0B1YDCJLY?psc=1,"https://www.google.com/shopping/product/11781154233801973294/offers?q=195394000000.0&prds=cid:11781154233801973294,cond:1",,,,,,N,V,0
Brooks Women's Ghost 15 Neutral Running Shoe - Legion Blue/Blue/Bittersweet - 8 Medium,49.0,71.0,,,$207.09 ,$207.09 ,,,A1MLP04OASBI2Z,1.0,B0BYTH445T,195394000000.0,195394000000.0,B0CKKBPDKF,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%27s+Ghost+15+Neutral+Running+Shoe+-+Legion+Blue%2FBlue%2FBittersweet+-+8+Medium&tbm=shop,Y,https://www.amazon.com/dp/B0BYTH445T?psc=1,"https://www.google.com/shopping/product/11737409895010005934/offers?q=195394000000.0&prds=cid:11737409895010005934,cond:1",,,,,,N,V,0
Brooks Women’s Adrenaline GTS 23 Supportive Running Shoe - Parchment/White/Vista - 10 Medium,644.0,678.0,,,$181.86 ,$198.30 ,,,-,3.0,B0CCZX7S8Y,195394000000.0,195394000000.0,B0BJ7V4V8F,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%E2%80%99s+Adrenaline+GTS+23+Supportive+Running+Shoe+-+Parchment%2FWhite%2FVista+-+10+Medium&tbm=shop,Y,https://www.amazon.com/dp/B0CCZX7S8Y?psc=1,"https://www.google.com/shopping/product/11685434980774985557/offers?q=195394000000.0&prds=cid:11685434980774985557,cond:1",,,,,,N,V,0
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Blue Iris/Rhapsody - 10 Medium,83.0,70.0,,,$139.99 ,$170.01 ,,,A114I0OUP3FTFB,1.0,B0BHKX3WSL,195394000000.0,195394000000.0,B0C62SXDLR,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%27s+Adrenaline+GTS+22+Supportive+Running+Shoe+-+Peacoat%2FBlue+Iris%2FRhapsody+-+10+Medium&tbm=shop,Y,https://www.amazon.com/dp/B0BHKX3WSL?psc=1,"https://www.google.com/shopping/product/11630916414133216625/offers?q=195394000000.0&prds=cid:11630916414133216625,cond:1",,,,,,N,V,0
Brooks Men’s Trace 2 Neutral Running Shoe - Grey/Blue/Green Gecko - 10.5 Medium,1303.0,1505.0,,,$87.38 ,$147.65 ,,,A3B5VE59OGHYB3,2.0,B09MGC79GW,195394000000.0,195394000000.0,B09MGCP4QP,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Men%E2%80%99s+Trace+2+Neutral+Running+Shoe+-+Grey%2FBlue%2FGreen+Gecko+-+10.5+Medium&tbm=shop,Y,https://www.amazon.com/dp/B09MGC79GW?psc=1,"https://www.google.com/shopping/product/11593708663945590582/offers?q=195394000000.0&prds=cid:11593708663945590582,cond:1",,,,,,N,V,0
Brooks Women's Ghost 15 Neutral Running Shoe - Black/Rosegold - 5 Medium,49.0,72.0,,,$199.00 ,$243.86 ,,,A16W1AC2W5HENZ,1.0,B0C2MNTV5Z,195394000000.0,195394000000.0,B0CKKBPDKF,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%27s+Ghost+15+Neutral+Running+Shoe+-+Black%2FRosegold+-+5+Medium&tbm=shop,Y,https://www.amazon.com/dp/B0C2MNTV5Z?psc=1,"https://www.google.com/shopping/product/1158501479966623129/offers?q=195394000000.0&prds=cid:1158501479966623129,cond:1",,,,,,N,V,0
Brooks Men's Ghost 15 Neutral Running Shoe - Flintstone/Peacoat/Oak - 10 Wide,110.0,190.0,,,$199.10 ,$220.00 ,,,A1MLP04OASBI2Z,1.0,B09RRV3W8R,195394000000.0,195394000000.0,B09RRZXQHS,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Men%27s+Ghost+15+Neutral+Running+Shoe+-+Flintstone%2FPeacoat%2FOak+-+10+Wide&tbm=shop,Y,https://www.amazon.com/dp/B09RRV3W8R?psc=1,"https://www.google.com/shopping/product/11570702395875940206/offers?q=195394000000.0&prds=cid:11570702395875940206,cond:1",,,,,,N,V,0
Brooks Men's Glycerin GTS 20 Supportive Running Shoe - Black/White/Alloy - 13 Wide,4987.0,5235.0,,,$179.97 ,$276.58 ,,,ABP7VDOH06O4W,2.0,B09RRFWQC4,195394000000.0,195394000000.0,B0B3ZZXRKF,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Men%27s+Glycerin+GTS+20+Supportive+Running+Shoe+-+Black%2FWhite%2FAlloy+-+13+Wide&tbm=shop,Y,https://www.amazon.com/dp/B09RRFWQC4?psc=1,"https://www.google.com/shopping/product/11549912929414983005/offers?q=195394000000.0&prds=cid:11549912929414983005,cond:1",,,,,,N,V,0
Brooks Womens Adrenaline GTS 22 Black/Black/Ebony 5 D - Wide,83.0,70.0,$109.75 ,1.0,$109.75 ,$235.10 ,,,AP3VA1GJZM3EQ,1.0,B08QV49BBT,190341000000.0,190341000000.0,B0C62SXDLR,Brooks,,GB190341000000.0,https://www.google.com/search?q=190341000000.0+Brooks+Womens+Adrenaline+GTS+22+Black%2FBlack%2FEbony+5+D+-+Wide&tbm=shop,Y,https://www.amazon.com/dp/B08QV49BBT?psc=1,"https://www.google.com/shopping/product/11547314849806204240/offers?q=190341000000.0&prds=cid:11547314849806204240,cond:1",,,,,,N,V,0
Brooks Men’s Levitate StealthFit 5 Neutral Running Shoe - White/Grey/Black - 7.5,167889.0,134995.0,$131.61 ,1.0,$131.61 ,$149.95 ,,,A31HF3QIF4BEQ5,1.0,B0973MTMW4,190341000000.0,190341000000.0,B0966QRFHD,Brooks,,GB190341000000.0,https://www.google.com/search?q=190341000000.0+Brooks+Men%E2%80%99s+Levitate+StealthFit+5+Neutral+Running+Shoe+-+White%2FGrey%2FBlack+-+7.5&tbm=shop,Y,https://www.amazon.com/dp/B0973MTMW4?psc=1,"https://www.google.com/shopping/product/11488725880284214875/offers?q=190341000000.0&prds=cid:11488725880284214875,cond:1",,,,,,N,V,0
