Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Black_list,PID
"Skechers Women's GO Run CONSISTENT-Energize Sneaker, Mauve, 7",345477,294893,,,$84.99,$89.00,$84.99,A2QIQUAPI6XSTT,1,B09PZ75WBR,196311600548,196311600548,B09SP79J81,Skechers,no,V,11149183700270783116
"Skechers Men's Hands Free Slip-ins Max Cushion Premier Ascendant Sneaker, White/Black, 12 Wide",191989,224386,,,,$184.00,$140.03,-,,B0C2BK3LFL,197627152219,197627152219,B0CPWV88QW,Skechers,no,V,11149495230554216012
"Skechers Men's, Arch Fit - Paradyme Walking Shoe Gray 11.5 M",336818,282280,$119.48,2,$111.54,$155.00,$113.91,A31AXZ2ONSA7MG,2,B0865396QF,192283367120,192283367120,B096WX6RY1,Skechers,no,V,11157304346074545940
"Skechers Sport Women's Women's New Facets Sneaker, BKW=Black/White, 7",417662,458834,$64.99,14,$64.99,$89.95,$64.99,A2QFERO09X9TW0,1,B096KQ87VS,195969461846,195969461846,B09HPH4HMN,Skechers,no,V,11217520209434621523
"Skechers Women's GO Run CONSISTENT-Energize Sneaker, Light Blue, 8.5",327339,290519,$69.90,,$65.00,$65.00,$69.99,A2H2AYTJFCST9E,1,B09SP65MT6,196311823329,196311823329,B09SP79J81,Skechers,yes,V,11220077527311553814
"Skechers Women's Too Cozy-Pooch Parade Slipper, Multi, 9",175048,112806,$39.95,3,$39.95,$100.04,$39.95,A1Q1PHSVIGZBP8,1,B07NJNRPN2,193642276923,193642276923,B0CQ9B2VD1,Skechers,no,V,11224735222011345661
"Skechers Women's Work Elite-Lite SR-Kajus Sneaker, Black, 8.5 W",150258,147706,$129.00,1,$129.00,$181.44,$129.00,A2650U6VN1Z6TA,1,B085B6F12X,194428677132,194428677132,B082Z31FQX,Skechers,no,V,11225374686671416235
Skechers Bobs B Cute - Clean Life Natural 9 B (M),122720,151000,,,$41.98,$71.00,$43.20,A1BNXE6U3W2NOH,3,B0B369548S,195969653333,195969653333,B08PFM8YXK,Skechers,no,V,11226297017868431973
"Skechers Men's Arch Fit Banline Oxford, Taupe, 10",243826,192971,,,$89.95,$139.00,$89.95,A1LEM297LNF1FK,2,B07YG2F3MC,193642943832,193642943832,B0C21L83NN,Skechers,no,V,1125998605948337795
"Skechers Men's GOrun Glide-Step Flex-Athletic Workout Running Walking Shoes with Air Cooled Foam Sneaker, Navy, 10",246015,202985,$74.99,1,$74.99,$99.99,$94.40,A3CMM8OZIFORCL,1,B09PR8CC7V,195969532096,195969532096,B0BRLW683Z,Skechers,no,V,1127929879473391570
