Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Buy Box Seller,Black_list,PID
"Tory Burch Women's Miller Thong Sandals, Black, 10.5 Medium US",36590,49458,,,$337.18,$337.18,$327.19,ANZYNJW9IIF9C,1,B00LC4QAWU,8.89E+11,888736088468,B07BHJGWD5,Tory Burch,no,,V,10207151933236420040
"Lacoste Men's Classic Short Sleeve Chine Pique Polo Shirt Polo Shirt, Vine Heathered, S",3902,6086,,,,$149.99,$118.28,-,,B07JFJSQJY,6.11E+11,610836744100,B0BMFPXBBB,Lacoste,yes,,V,10208892687734455128
"New Balance Women's Fresh Foam Breathe Golf Shoe, Sand, 8",,,$88.35,,$74.13,$124.15,,,,B09C12DPS5,889993231727,889993231727,B08NYWNDJZ,New Balance,,3rd Party (ADRHGNAK5VWYB),V,10211731075564187134
"New Balance Women's 460 V3 Running Shoe, Blacktop/Green Aura/Lilac Rose, 8",,,,,$114.00,$125.00,,,,B09YBK3TFF,196432782413,196432782413,B08PDD64YT,New Balance,,,V,1022444899582259580
"New Balance Women's Fresh Foam More V3 Running Shoe, Night Sky/Libra, 8 X-Wide",243994,213152,,,$221.91,$251.50,$221.91,ANZYNJW9IIF9C,1,B096N7H8Q6,1.96E+11,195907578230,B08BN48Y6B,New Balance,yes,,V,10227114313801270691
"Cole Haan Women's Piper Mule, Mtllc Linen Raffia, 8",,,,,$118.45,$171.79,,,,B0994Y79VC,194736810269,194736810269,B0CXHT356C,Cole Haan,,,V,10233560493918307489
"New Balance Women's DynaSoft Pro Run V2 Shoe, White/Silver Metalic, 11 Wide",,,,,$66.93,$66.93,,,,B0BHJN51Q1,196652989326,196652989326,B0C62X663Z,New Balance,,,V,10241173354376747346
"Cole Haan Men's Grand+ Chukka Boot, British TAN Leather, 11",,,$89.95,,$89.95,$159.95,,,,B09NZDBDR7,194736926847,194736926847,B09NZGGBW6,Cole Haan,,3rd Party (A1EA4W4NX7SS7Y),V,10241415484342652087
"New Balance Women's Fresh Foam X 860 V13, White/Light Aluminum/Light Gold Metallic, 6.5 X-Wide",,,,,,$243.85,,,,B0BB387PXB,196307625401,196307625401,B0CYY2LT69,New Balance,,,V,10243830634959721059
"New Balance Men's Fresh Foam X More V4 Running Shoe, Cobalt/Black 15 EE - Wide",,,,,,$212.77,,,,B0B8X6LKLC,196307418188,196307418188,B0CZS3SHBH,New Balance,,,V,10245726809955960905
