Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Black_list,PID
Nike Sportswear Tech Fleece Windrunner Men's Full-Zip Hoodie Size-Large,145001,145001,173.79,31,173.79,$173.90,$173.85,"A3NHPJDQF2LPC5, A14NNA3FSGTMQN, A3S897FBSOV5UF",6,B0CW648ZZY,196974853824,196974853824,B0CRP66QC1,Nike,no,V,9758171751335872042
Nike W Women Pegasus Turbo Next Nature Shoes DM3414 005 Size 6 US New in The Box Black/White,108681,108681,83.73,1,75.88,$125.00,$105.94,-,1,B0CSKLFFMR,196604431538,196604431538,B0C645JH7K,Nike,no,V,9748405511219162930
"Nike Men's Sportswear Club Pullover Hoodie, White/White/Black, Small",19466,15094,93.89,2,85.94,$104.74,$94.75,AF4GO035LHAA2,1,B01C5CGS9M,886548338573,886548338573,B08SSB3G9M,Nike,no,V,9741885005914194078
"Nike Men's Metcon 8 Training Shoe (Sanddrift/Hemp/Coconut Milk/Black, us_Footwear_Size_System, Adult, Men, Numeric, Medium, Numeric_8_Point_5)",20041,14624,199.97,1,199.97,$239.95,$199.97,A2JAU7ZVS9XNM6,1,B0C1Q32VH1,196153744707,196153744707,B0CPTGTM1Y,Nike,no,V,973848826560425490
Nike Womens Air Vapormax Flyknit 2 Black/White-Dark Grey 942843 001 - Size 6W,2012864,5361266,254.99,1,254.99,$789.20,$254.99,A2IH1FU7WWGZE6,1,B07BNK75KX,883212080011,883212080011,B0873SYGVF,Nike,no,V,9737225768964027725
Nike Womens WMNS Air Max Plus DN6997 100 - Size 5.5W,197823,161315,165,1,165,$249.45,$102.94,AFW7WNX55N5K4,1,B09J3YMJBD,195244304653,195244304653,B0B2DRYNM4,Nike,no,V,9735844432113431915
"Nike Hydrastrong Solid Cut-Out One Piece (28, Gorge Green)",110078,90511,47.21,24,47.21,$112.73,$54.86,A218NCVVSLQN1Q,3,B083TGCY95,30673261538,30673261538,B08Y5918P7,Nike,no,V,972635373453339231
"Nike Men's Air Max Plus Reversed Sunset Running Shoes, Black/Cosmic Clay/Kumquat/Mystic Red, 8",20845,22495,219.94,1,219.94,$376.00,$219.94,ACFEJ7XZCS2WI,2,B09NPPKVQC,195242086261,195242086261,B074DKFDLZ,Nike,no,V,9725829521681759230
Nike Hydrastrong Solid Racerback One Piece Female,312674,262100,45.95,1,41,$76.26,$45.95,A3V1BO3WFJIOCU,4,B0863P7TYX,30673190241,30673190241,B09FJ2DP9J,Nike,no,V,9717138892687739624
"Nike Dri-FIT Cushion Crew Athletic Socks 3-Pack, White (M 6-8)",667389,615580,44.95,85,44.95,$62.64,$43.64,-,1,B00LEWC5EW,883412028141,883412028141,,Nike,no,V,9717077317072502102
"Nike Men's Low-Top Sneakers, Olive Sequoia High Voltage, 9",67009,67009,171.86,5,161.96,$172.00,$174.17,A1ME9LZAEMLUMT,2,B0C4LN3VRM,196607710029,196607710029,B0CMBN72R2,Nike,no,V,9705176206417820201
"Nike Men's Air Zoom Winflo 8 Running Shoe (White/Black-Bright Crimson, 13)",252517,212902,148.58,1,122.22,$129.99,$148.58,A2QZFWRBJQ007I,1,B098P939PT,195238317256,195238317256,B0CPT91DL7,Nike,no,V,9684330448291841120
"Nike Swim Youth Legacy Performance Goggle,Clear (000),OS",334951,607687,16.5,4,16.5,$17.82,$16.50,A3V1BO3WFJIOCU,1,B08737F4G2,30673169025,30673169025,,Nike,no,V,9676910096987947425
"Nike Womens React Infinity Run FK 3 Running Trainers DD3024 Sneakers Shoes (UK 5.5 US 8 EU 39, Pink Glaze White Pink Foam 600)",54210,49825,169.99,3,169.99,$184.99,$169.99,A1RIIAX5ON26EB,1,B0BX6QHDWH,195868914658,195868914658,B0CPT9R4B1,Nike,no,V,9668465516652611716
"Nike Womens Club Fleece Jogger Sweatpants (Anthracite, Large)",10170,7862,78.47,18,78.47,$78.47,$73.74,A16BR548956SWI,1,B08NN7721Z,194272736627,194272736627,B0BWNXDRGQ,Nike,no,V,9667372274623583260
"Nike Men's SFB Field 2 Tactical 8 inch Boots, Black/Black, 10.5",360538,316261,189.95,1,189.95,$358.45,$194.02,-,8,B07B3WY3JZ,191884304800,191884304800,B07G7QL182,Nike,no,V,9665224796025628996
"Nike Men's NSW Tee Brand Mark, White/Black/University Red, Small",78802,79845,32.99,6,32.99,$58.38,,ANFNV5UIKB6FP,1,B07GXLFRKJ,191888616411,191888616411,B0CPTFYW4R,Nike,no,V,9657910201533048815
Nike Dunk Low Women Sail/Caco Wow-Coconut Milk DD1503-124 10,3405,3136,144.78,1,144.78,$399.99,$164.21,A3RKO5AO41Q6CV,11,B0C7LX1DRG,196608022138,196608022138,B0CPTC4924,Nike,no,V,9655932855650702366
"Nike Womens Renew Run Running Trainers CK6360 Sneakers Shoes (UK 5.5 US 8 EU 39, Black Metallic Silver White 008)",454040,466336,114.99,14,114.99,$146.00,$114.99,A1RIIAX5ON26EB,1,B07Y8448XV,193657807358,193657807358,B0876MLPVX,Nike,no,V,9655161321613442927
"Nike Sportswear Tech Fleece Men's Joggers,Washed Teal/Black/Black (X-Large, Washed Teal/Black/Black)",36981,27471,65.85,1,65.85,$109.99,$77.45,A1AV30FLVKRYS7,1,B0BDD1P14W,195245440930,195245440930,B0CPTHXQW9,Nike,no,V,9653663500374207656
"Nike Women's Air Vapormax Plus, Sunset Pulse/Black-ghost Green, 9.5",392175,1362173,264,3,264,$379.99,$264.00,A1BWWXW88YD7H7,4,B096HTZ15K,195240734089,195240734089,B08J4Z6LCG,Nike,no,V,9653534323286089695
"Nike WMNS Running Shoes (Black White (Run Swift 3) DR2698-002, us_Footwear_Size_System, Adult, Women, Numeric, Medium, Numeric_7)",56657,66175,108.76,1,103.81,$152.89,$113.58,AF4GO035LHAA2,7,B0BNJMKY7J,196153291270,196153291270,B0CPT9TG5S,Nike,no,V,9650258750831411252
Nike Womens Dunk Low WMNS DD1503 102 Orange Pearl - Size 6W,3387,3134,197,1,197,$505.00,$222.82,AFW7WNX55N5K4,2,B091MNPKCF,194502193183,194502193183,B0CPTC4924,Nike,no,V,964845155776620876
Nike Sabrina 1 Unisex Basketball Shoe Black/White-Black FQ3391-002 9W/7.5M,370497,598757,134.76,44,125.77,$199.99,$130.21,"AC84Y246HJ6PO, AAGYSXRML4LKF, ASINA8I5RMMEK, A3EUP28PDPRXNL, A14S6XXWNZ07KP",10,B0CR5QPFGK,196609467006,196609467006,B0CHC8652H,Nike,no,V,9644468991003109606
"Nike Women's Quest 4 Road Running Shoes, Glaze-Menta, 7.5 M US, White/Pink/Green",117725,108156,91.42,1000,91.42,$159.99,$84.70,-,1,B09PCCZ16D,195242829394,195242829394,B09PZKRZGT,Nike,no,V,9643056358063431766
"Nike Golf - Dri-FIT Micro Pique Polo , 363807, Lawn, XL",254723,327312,44.99,21,44.99,$113.79,$46.44,A9CHQUR4DRO8Z,1,B005HJOG5E,884499818458,884499818458,B017LL2G5W,Nike,no,V,9640739418680357709
"Nike Men's Standard Long Sleeve Hydrogua, Game Royal, Large",195851,206203,44.99,1,44.99,$66.01,$43.28,A1CKOLBYLVPLPH,3,B084LKZV2X,30673171967,30673171967,B0BYTWF2HV,Nike,no,V,9633456678268086018
Nike Hydrastrong Solid Jammer Midnight Navy 32,185461,144299,47.87,2,47.39,$135.00,$50.25,A218NCVVSLQN1Q,3,B08H8W94HW,30673193617,30673193617,B09FJ4BRV6,Nike,no,V,9623221788879391747
"Nike mens Air Vapormax Plus, Atomic Green/Black, 9.5",33868,30696,220,3,219.99,$220.00,$219.98,AGKOA5NP4EYVE,2,B0BBS7V6B2,196148463408,196148463408,B07X3LT39M,Nike,no,V,9592586141602459842
"Nike Essential 6"" Kick Shorts Midnight Navy MD",233071,342352,59.71,2,59.71,$74.68,$59.64,A218NCVVSLQN1Q,2,B08QGQXKYM,30673534472,30673534472,B08QN76KFT,Nike,no,V,9582472285429487179
"Nike Womens Stock HyperElite Short (Dark Green, Medium)",422587,484225,108.5,1,108.5,$214.37,$109.88,A6NI94LTQOFCS,2,B08SWN4FQ2,193656638915,193656638915,B08SWKR5YZ,Nike,no,V,9581998875379172403
Jordan Baby Girl's Jordan 1 Mid SE (Infant/Toddler) White/White/Black/Volt 5 Toddler M,152297,189692,69.9,2,69.9,$257.00,$69.90,A2TVRE2CB5TELZ,1,B097NDZ88R,195238787011,195238787011,B093YXLZQG,Nike,no,V,9580958911143548572
"NIKE Children's Apparel Boys' Little Dri-FIT Trophy Shorts, Volt, 4",120000,5047159,29.49,1,29.49,$53.24,$29.49,AVAY6T6RQUQRK,2,B07NH4GHJ8,9328686439,9328686439,B0CRYKSTJX,Nike,no,V,9579609523517003314
Nike Kawa Slide SE 2 (Little Kid/Big Kid),247851,357126,50.74,1,29.99,$73.55,$50.74,A3TPM9DQXVLA6G,1,B08X1ZVVZ9,194957385812,194957385812,B08QBDQS1S,Nike,no,V,9564503291769913467
"Nike Men's Gymnastics Shoes Sneaker, Light Silver Mineral Teal Racer Blue, 9.5",125931,108811,138,2,138,$184.99,$138.00,A2779W9KDOTC64,3,B0BNJKD292,196153210448,196153210448,B0B1T53214,Nike,no,V,9562788595370608653
"Nike Giannis Immortality 3 Basketball Shoes (DZ7533-301, GEODE Teal/Purple Ink/Jade ICE/Stadium Green) Size 13",586940,1063776,100.09,2,92.14,$136.88,$103.21,AF4GO035LHAA2,6,B0CT62HJ1H,196969110178,196969110178,B0CT453TGH,Nike,no,V,9560460977393865306
Nike Sportswear Tech Fleece Men's Shorts Size - Medium Dark Grey Heather/Black,622542,958166,64,3,64,$114.26,$64.00,"A296KILIU2Q03K, A14NNA3FSGTMQN, A3S897FBSOV5UF",10,B0CJ5HYPPL,196607420591,196607420591,B0CM3YYMB3,Nike,no,V,955754948219233216
Nike Cortez Mens Shoes Size - 10.5,66265,145850,110,1,110,$199.99,$124.72,A2AB90XIJ1J18R,7,B0BZ55B4G3,196153305885,196153305885,B0CJBQ3L25,Nike,no,V,9551542378754617885
Nike Hydrastrong Solid Fastback One Piece,197644,166137,38.21,1,33.26,$93.67,$38.22,"A3V1BO3WFJIOCU, A7ULJO7NAWM0L",5,B083THV8VM,30673191163,30673191163,B09C6PW4ZS,Nike,no,V,9539168107954828721
Nike Boy's Air Max 270 Extreme (Big Kid) Hyper Pink/White/Black/Fuchsia Glow 7 Big Kid M,48583,37149,219,1,219,$229.00,$219.00,A2O4XN2BBGRDQ,1,B0932VRP9C,194957439102,194957439102,B0CPT7H8CH,Nike,no,V,9530531274810165415
Jordan Mens AIR Jordan 1 Low SE DC6991 016 White/Grey/Red - Size 8,115812,78398,232,2,232,$279.99,$234.66,"A1657OE9TWXBSM, AFW7WNX55N5K4",6,B09Q3P5QR4,195243738787,195243738787,B0BZ532G9N,Nike,no,V,9527679438449365925
"Nike Unisex-Child Star Runner 3 Pre School Running Shoe (Black/White, Numeric_11_Point_5)",14106,12879,63.69,1,46.89,$135.09,$75.28,A36M48BBTNHG64,1,B098PDLJ15,195239817168,195239817168,B0CD5WQTR9,Nike,no,V,9527276739006719057
"Nike Revolution 6 Kids Running Shoes, Summit White/Diffused Blue, 6 Big Kid",17939,676406,32.58,4,32.58,$103.51,$42.07,A1LEUQWXSOI1FP,2,B0BNJLQR21,196154602037,196154602037,B0CLJYW6F3,Nike,no,V,9521794080430541974
"Nike Zoom Winflo 7 Womens Shoes Size 6, Color: Sky Grey/Teal/White",241478,234196,99.92,1,99.92,$174.00,$99.26,A3TJFMU3EA1GUH,1,B07ZJNKZKY,193657888876,193657888876,B08CC162PH,Nike,no,V,9515830839691928388
"NikeCourt Air Zoom Vapor Pro 2 Men's Hard Court Tennis Shoes (DR6191-104, White/Team Red/Lime Blast) Size 12",335591,335591,222.61,2,213.57,$215.45,$194.75,A1ME9LZAEMLUMT,7,B0CKZBVYGT,196968972463,196968972463,B0BNJTNGKW,Nike,no,V,9501785667505480959
"Nike Court Borough Low Recraft Little Kids' Shoes (DV5457-102, White/Geode Teal/Jade Ice) Size 2",837295,864397,84.9,5,75,$75.00,$78.77,A1EK7LD4ZSCFPB,3,B0C865GWB9,196608431305,196608431305,B0CFYM5PWD,Nike,no,V,9494198584620141106
"Nike mens Low 77 VNTG Bt Trainers Dd3034 Shoes Blazer, White/Multi-color-laser Fuchsi, 9",60384,50208,71.4,3,71.4,$156.95,$71.40,A1H8MUERXJ8VLJ,4,B0B2BXL689,195242066225,195242066225,B08ZYZ9Q3P,Nike,no,V,9493795215361984113
Nike Jordan Men's 6 Rings Basketball Shoes 322992-012 White Game Royal Black,61321,67077,124.99,8,124.99,$179.99,$126.22,A18L6T09X2UMXJ,5,B0C6FVM229,196604476737,196604476737,B0CPTFCJDP,Nike,no,V,9489510120614394850
"Nike Women's Low-Top, Gray, 8.5 US",87632,78927,149.99,9,149.99,$212.55,$149.99,A1RIIAX5ON26EB,1,B07Z6RQVKP,193152374393,193152374393,B07VQGQVX5,Nike,no,V,9478031207610616671
"Nike Women's React Pegasus Trail 4 Running Shoes, Lt Photo Blue/Metallic Silver, 9.5 M US",83224,83224,256.7,,200,$202.00,$256.70,AYN5A0CZC142X,1,B0C8615RCM,196607678848,196607678848,B0BDYPWWDH,Nike,no,V,9477000350118560884
"Nike Men's Inflict 3 Wrestling Shoes (White/Gold, 12 M US)",257849,199177,176.99,5,168,$240.90,$177.89,A1ME9LZAEMLUMT,1,B07L1P64DR,191884307276,191884307276,B07ZZCY6SD,Nike,no,V,9474440664195422172
