Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),PID,Black_list
"Tommy Hilfiger Women Long Sleeve Crewneck Logo T-Shirt (Small, Burgundy (2023 Logo))",2904271,2416904,$31.44,,$26.72,$54.99,,-,0,B0CM9KQW75,197232047108,1.97E+11,B07NGNBZ8J,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Women Long Sleeve Crewneck Logo T-Shirt (Large, Burgundy (2023 Logo))",1491042,1171397,$42.02,,$41.95,$54.99,,-,0,B0CM9JWVWY,197232047085,1.97E+11,B07NGNBZ8J,Tommy Hilfiger,yes,none,Y
Tommy Hilfiger Scallop Edge Polo Coral Reef LG (US 12-14),2196222,3513671,$64.40,,$64.40,$79.50,,-,0,B0BT4RWTXT,196701708038,1.97E+11,B0CNSH4VNK,Tommy Hilfiger,yes,none,Y
Tommy Hilfiger Scallop Edge Polo Coral Reef XL (US 16-18),2522907,3530953,$64.40,,$64.40,$79.50,,-,0,B0BT4QS61Z,196701708021,1.97E+11,B0CNSH4VNK,Tommy Hilfiger,yes,none,Y
"Ralph Lauren Quarter-Zip Cotton Pullover, Big Boys SoftSwt-AndoverHtr (S)",1742931,1550749,$69.00,,$69.00,$69.00,,-,0,B0CPBMJXP3,3616540000000,,B06X1GHVBQ,POLO RALPH LAUREN,yes,none,Y
"Tommy Hilfiger Men's Modern Essentials French Terry Sweatshirt, Mahogany, X-Large",1223067,1236420,$52.12,6,$52.12,$69.50,$52.12,A1QFV54JFUWZAD,1,B08XJZ65J9,88541986946,88541986946,B072Y8YT2X,Tommy Hilfiger,no,none,Y
"Polo Ralph Lauren Men's Performance T-Shirt Summer 2021 (Blue, Medium)",3247854,1879868,,,,$84.82,$84.82,-,,B096QTCC6R,882909683863,8.83E+11,,POLO RALPH LAUREN,no,none,Y
"Tommy Hilfiger Men's Modern Essentials French Terry Sweatshirt, Dark Navy/Hilfiger Color Block, M",1129408,1204573,$35.99,2,$35.99,$59.00,$38.18,A1LZM8RB7IOACD,1,B07TWCN3H4,88541849753,88541849753,B072Y8YT2X,Tommy Hilfiger,no,none,Y
"Tommy Hilfiger Women's Bexlee Not Water Resistant, Black, 9",1740693,1935053,$51.35,,$51.35,$59.25,,-,0,B0CRPP45N8,198095430984,1.98E+11,B0CRPZ7L6G,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Co-Ed Relaxed Pull On Shorts with Elastic Waist US 5, Navy",1410398,1238150,$21.00,,$21.00,$21.00,,-,0,B0BKDTN5ZJ,887346488699,8.87E+11,B0BN4VYCWG,Tommy Hilfiger,yes,none,Y
"Free People Mykonos Straw Tote, Espresso Combo",841104,841104,$78.00,,$78.00,$78.00,,-,0,B0CTXR8MMS,197785581814,1.98E+11,B0CTZM4M3J,Free People,yes,none,Y
Lacoste L-Guard BRKR CT 2231 SFA Navy/Green 6 M,1271969,1142609,$105.57,,$105.57,$165.00,,-,0,B0CKBD91LZ,196224278469,1.96E+11,B0CJC9VQD7,Lacoste,yes,none,Y
Lacoste L-Guard BRKR CT 2231 SFA Off-White/Off-White 7.5 M,1159844,1167186,$87.45,,$87.45,$103.92,,-,0,B0CKBT598N,196224278063,1.96E+11,B0CJC9VQD7,Lacoste,yes,none,Y
"Tommy Hilfiger Women's Cadele 2 Flip-Flop, Black Nautical Multi, 11",1142539,1155954,$31.50,,$31.50,$31.50,,-,0,B0BZGBHPYX,197016778488,1.97E+11,B0C68SWR3R,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Women's Beila Flip-Flop, Dark Blue Multi, 10",2255463,2594549,$26.25,,$26.25,$29.75,,-,0,B0BZG6STVB,197016860916,1.97E+11,B0BZG2S859,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger womens Striped Rib Sweater, Kalamata Multi, X-Small US",3116771,2193223,$25.67,3,$14.99,$69.00,$25.67,A24V851RG6UNB7,1,B09ZGXR8D8,196701999658,1.97E+11,B09ZHKXF9Y,Tommy Hilfiger,no,none,Y
"Tommy Hilfiger Men's Siward Oxford, Burnished Cognac 120, 9",1621564,2607170,$49.97,,$49.97,$62.96,,-,0,B0CKTZHF11,197648448421,1.98E+11,B0CKV5JHHH,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Slim Fit Stretch Rugby Stripe Polo Men's Shirt (US, Alpha, Large, Regular, Regular, Grey)",1205730,1205730,$73.15,,$73.15,$74.99,,-,0,B0CZS8V1KF,197232059811,1.97E+11,B0CYGSBSFK,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Girls Long Sleeve Interlock Polo School Uniform Shirt US 5, Royal",979449,818631,$22.00,,$22.00,$22.00,,-,0,B0BKBVD7DK,48283357794,48283357794,B0CLWT77FZ,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger men's Embroidered Tommy Logo Fleece Quarter Zip Pullover Sweatshirt, Grey Heather, M",733360,733360,,,,$78.00,,-,,B0CR7D3D95,197232032562,1.97E+11,B08BFTS259,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger womens Striped Rib Sweater, Med Heather Grey Multi, X-Small US",914251,1082395,$28.02,1,$17.34,$72.34,$28.35,A24V851RG6UNB7,2,B09ZGVLZXP,196701999757,1.97E+11,B09ZHKXF9Y,Tommy Hilfiger,no,none,Y
