"Title","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Buy Box 🚚: Current","Buy Box 🚚: Stock","New: Current","New, 3rd Party FBM 🚚: 30 days avg.","Lowest FBM Seller","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC","Parent ASIN","Brand","Prime Eligible (Buy Box)"
"Columbia Women's Grand Trek II Down Jacket, Nocturnal/Dark Nocturnal, Small","568864","620449","$ 115.00","2","$ 115.00","$ 133.65","AU8KF031TC39C","1","B09KMD4WQ2","0194895585817","194895585817","B09KMVQFLR","Columbia","no"
"Columbia Baby Powder Lite Reversible Bunting, Collegiate Navy/Bright Indigo/Dark Mountain, 6/12","1172347","1105382","","","$ 129.44","$ 93.14","AUZHYMZYT39ZN","1","B09KMLSLL5","0194895586500","194895586500","B08MM8YQMP","Columbia","no"
"Columbia Baby Powder Lite Reversible Bunting, Collegiate Navy/Bright Indigo/Dark Mountain, 18/24","1160360","1105455","","","$ 129.44","$ 83.39","AUZHYMZYT39ZN","1","B09KMM42BX","0194895586531","194895586531","B08MM8YQMP","Columbia","no"
"Columbia Baby Powder Lite Reversible Bunting, Wild Fuchsia/Aura/Shark, 3/6","1204609","1113368","","","","$ 52.04","-","","B09KMLXJP9","0194895586685","194895586685","B08MM8YQMP","Columbia","no"
"Columbia Baby Powder Lite Reversible Bunting, Blush Pink/Peach Blossom, 18/24","1140738","1096076","","","$ 129.44","$ 129.44","AUZHYMZYT39ZN","1","B09KMMDC8X","0194895586753","194895586753","B08MM8YQMP","Columbia","no"
"Columbia Baby Powder Lite Reversible Bunting, Blush Pink/Peach Blossom, 6/12","1150476","1110338","","","$ 129.44","$ 129.44","AUZHYMZYT39ZN","1","B09KMLQDNG","0194895586760","194895586760","B08MM8YQMP","Columbia","no"
"Columbia Youth Unisex Whirlibird Cuffed Beanie, Collegiate Navy, One Size","531312","307339","","1","$ 17.33","$ 17.50","A2CE4JQDBG5857","6","B09KP9WRX8","0194895591900","194895591900","B09KPHL4VN","Columbia","yes"
"Columbia Unisex Lightweight Packable II 21L Backpack, Black Trad Camo, One Size","408637","449981","","","$ 46.30","$ 44.66","AP3VA1GJZM3EQ","1","B09KPCLRVW","0194895593331","194895593331","B09KPMC55Q","Columbia","yes"
"Columbia Women's Fireside Full Zip Jacket, Dark Nocturnal, Large","457935","572526","","","","$ 96.04","-","","B09KMJX1LG","0194895596127","194895596127","B09949K8R9","Columbia","no"
"Columbia Women's Hart Mountain II Graphic Crew, Peach Blossom/Skiing Fox, Large","800924","791818","$ 69.39","1","$ 59.41","$ 70.49","A2I4KIISCXKZBK","1","B09KMN4CYW","0194895596677","194895596677","B0CN5MBYZ4","Columbia","no"
"Columbia Men's Terminal Tackle Hoodie, Laser Lemon/Cool Grey Logo, Large","9994","12563","","","","$ 46.25","-","","B09KP3L39K","0194895602538","194895602538","B07KY6XJDK","Columbia","no"
"Columbia Men's Steens Mountain Full Zip 2.0, Black/Delta, X-Large Tall","3546","2332","","","","$ 74.89","-","","B09KMJ5953","0194895605072","194895605072","B09WJHL6JM","Columbia","yes"
"Columbia Men's Steens Mountain Full Zip 2.0, Black/Delta, 2X Tall","3554","2322","","","$ 74.65","$ 74.65","A296GL5RQ9NQ1I","1","B09KMJ6J6D","0194895605096","194895605096","B09WJHL6JM","Columbia","yes"
"Columbia Men's Steens Mountain Full Zip 2.0, Black/Delta, 5X Big","3487","2312","","","$ 69.99","$ 69.99","A15KSQ8GBEWJ3O","1","B09KMHV1LJ","0194895606055","194895606055","B09WJHL6JM","Columbia","yes"
"Columbia Men's Steens Mountain Full Zip 2.0, Black/Delta, 6X Big","3553","2317","","","","","-","","B09KMHQZD8","0194895606079","194895606079","B09WJHL6JM","Columbia","yes"
"Columbia Unisex PHG Game Flag Mesh Snap Back - High, Black, One Size","712327","611494","","","$ 46.99","$ 46.99","A15KSQ8GBEWJ3O","1","B09KP86YCC","0194895606338","194895606338","B0BKJH5W92","Columbia","yes"
"Columbia Women's Powder Lite Hybrid Hooded Jacket, Black, Medium","500325","400989","","","","$ 101.39","-","","B09KMD3DQ8","0194895608363","194895608363","B09KMV5SZ9","Columbia","no"
"Columbia Women's Powder Lite Hybrid Hooded Jacket, Black, X-Large","495837","400385","$ 92.30","4","$ 92.30","$ 147.60","-","1","B09KMCVVK6","0194895608400","194895608400","B09KMV5SZ9","Columbia","no"
"Columbia Women's Tamiami II UPF 40 Long Sleeve Fishing Shirt, Carbon, X-Small","13343","19585","","","","","-","","B09KNXNKFP","0194895610359","194895610359","B0CH3YW18H","Columbia","yes"
"Columbia Women's Tamiami II UPF 40 Long Sleeve Fishing Shirt, Carbon, Small","13327","19561","","","","","-","","B09KNWTXQC","0194895610366","194895610366","B0CH3YW18H","Columbia","yes"
"Columbia Men's Loma Vista Interchange Jacket, Delta, Small","573153","2357105","","","","$ 166.58","-","","B09KMFYH9H","0194895611035","194895611035","B0BPMVR2G7","Columbia","yes"
"Columbia Women's Fast Trek II Jacket, Marionberry, 2X Plus","47157","31313","","","$ 95.00","$ 95.00","A15KSQ8GBEWJ3O","1","B09KMJMVWL","0194895614685","194895614685","B0CT4S5NJM","Columbia","yes"
"Columbia Men's Thistletown Hills Raglan Tee, City Grey Heather/Shark Heather, X-Large Tall","77576","92261","","","$ 40.19","$ 48.18","A3DINL8VX725VT","1","B09KP1T9PQ","0194895615019","194895615019","B09KPGCV6P","Columbia","yes"
"Columbia Women's Panorama Long Jacket, Nocturnal, X-Small","185778","115176","$ 115.00","2","$ 115.00","$ 115.00","AU8KF031TC39C","1","B09KMNRXM6","0194895620488","194895620488","B0CMH7NTZM","Columbia","no"
"Columbia Women's Panorama Long Jacket, Nocturnal, Medium","174620","110629","$ 103.93","1","$ 103.93","$ 104.49","A85DGD18FEXXS","1","B09KMLT26X","0194895620501","194895620501","B0CMH7NTZM","Columbia","yes"
"Columbia Men's Autumn Park Down Hooded Jacket, Warm Copper/Black, Large","462840","267506","","","$ 249.99","$ 249.99","AFMMNNKVW51QK","1","B09KMHKVBD","0194895625544","194895625544","B09J4BTL77","Columbia","yes"
"Columbia Women's Benton Springs Full Zip, Marionberry, Medium","1177","868","","","","$ 49.72","-","","B09KMJZY9M","0194895625964","194895625964","B0BLXPNPQV","Columbia","yes"
"Columbia Women's Benton Springs Full Zip, Marionberry, Large","1175","871","","","$ 87.79","$ 61.19","-","0","B09KMJ85Y5","0194895625988","194895625988","B0BLXPNPQV","Columbia","yes"
"Columbia Women's Benton Springs Full Zip, Marionberry, Small","1181","871","$ 49.72","3","$ 44.99","$ 49.72","A2OLOGJV257E78","2","B09KMK5H6P","0194895626008","194895626008","B0BLXPNPQV","Columbia","no"
"Columbia Women's Benton Springs Full Zip, Blue Chill, Medium","1164","867","","","","","-","","B09KMKP7VH","0194895626138","194895626138","B0BLXPNPQV","Columbia","yes"
"Columbia Women's Benton Springs Full Zip, Aura, 2X Plus","1183","863","$ 74.89","1","$ 74.89","$ 74.89","A2RRZB6EOSL83G","1","B09KMJZR4R","0194895626169","194895626169","B0BLXPNPQV","Columbia","no"
"Columbia Women's Bugaboo Omni Heat Pant, Neon Sunrise, X-Small","214465","92743","","","","","-","","B09KMZ1GSB","0194895626794","194895626794","B07J57YGSL","Columbia","yes"
