Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),PID,Black_list
Tory Burch Eyeglasses TY 2022 BROWN 933 TY2022 53MM,,,$215.28,,$215.28,$269.16,,-,1,B007J56PC6,642878950744,642878950744,,Tory Burch,no,9311640463862237388,V
"Free People Women's Vernon Minim Dress, Sunshine Combo, Floral, Orange, S",665186,866744,,,$79.00,$128.00,$74.41,-,1,B0BQLXGXYN,197267130035,197267130035,B0C7HFZD9F,Free People,no,9307059049187521339,V
TYR WATPM2A401L Mens Parka Navy L,2313554,1486831,$92.00,2,$92.00,$124.99,$92.18,AJFP1YKE72CZ,6,B07WTNT32H,36702800259,36702800259,B0CQH9PSWJ,TYR,no,9306503416046390747,V
"TYR Special Ops 3.0 Transition, Clear, One Size,White",189260,181682,,,,$118.28,$102.78,-,,B07L5WNRCN,36702759533,36702759533,B0CLJ8CX28,TYR,no,9300521179233562803,V
"Tory Burch Women's Minnie Travel Ballet Flats, Vintage Mauve, Pink, Tan, 6.5 Medium US",87493,88928,,,$268.00,$268.00,$283.70,A22XJXTXTCFKGS,1,B09SBPYWHM,196133370308,196133370308,B079B6XLCR,Tory Burch,no,9260399602772137055,V
Kate Spade Patrice tote (black),2129327,2737622,$99.99,7,$99.99,$264.00,$105.27,AM6N2HFGPSJN8,3,B088Q44H14,767883573105,767883573105,,Kate Spade New York,no,925814361077111096,V
"Kate Spade New York Women's Kimberlyn/G/S Oval Sunglasses, Black, 56mm, 19mm",1198966,1349957,$96.49,1,$96.38,$160.00,$96.38,AK5VQ2MDYZK99,2,B08R2MLTLS,716736389547,716736389547,B09VYLQG3P,Kate Spade New York,no,9246224816706409130,V
"Kate Spade New York Park Circle Heart Bottle Opener, 0.35 LB, Metallic",295595,275864,$29.39,6,$29.39,$40.21,$24.33,AP3VA1GJZM3EQ,1,B087C53MRR,882864849809,882864849809,B0988DRCYG,Kate Spade,no,9235439463639311474,V
"Kate Spade New York Women's Rosie Pebbled Leather Medium Flap Backpack, Parchment",1040988,923391,$183.27,1,$176.00,$220.00,$186.47,AM9VLOTH8Y9Z3,1,B0CKY2RKJ4,196021275722,196021275722,,Kate Spade New York,no,922566428267106062,V
Kate Spade New York Margaux Large Satchel Light Fawn One Size,7605562,7385078,$254.00,1,$254.00,$443.64,$254.00,A316X216AI9M56,1,B07FVPFSDY,98687313247,98687313247,,Kate Spade New York,no,9201750498342704504,V
