Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
Laura Mercier Mini Ultra-Blur Talc-Free Translucent Loose Setting Powder Translucent,282015,272877,,,$41.46,$80.74,$62.78,A39WWGXFOLEB1L,2,B0CBQQZ8CV,1.94E+11,194250047554,,Laura Mercier,no
"New Balance mens 840 V4 Running Shoe, Black/White, 12.5 Wide US",585432,496717,,,$213.81,$220.29,$213.81,ANZYNJW9IIF9C,1,B0815XVV1B,1.94E+11,194389550949,B01N2JJAR1,New Balance,no
"New Balance Men's Fresh Foam 3000 V5 Turf-Trainer Baseball Shoe, Black/White, 5",445947,341702,,,$163.09,$164.75,,-,,B08167DGB4,1.94E+11,194389872645,B0BQ7WJRMM,New Balance,no
"New Balance mens Fresh Foam Beacon V3 Running Shoe, Black/White, 10 US",621350,547430,$143.85,1,$143.85,$165.31,$143.85,ANZYNJW9IIF9C,1,B0815WR1QJ,1.94E+11,194389952712,B0815TSM1X,New Balance,no
"New Balance Women's Fresh Foam 880v11, Grey/Sky, 8 Medium",144796,140386,,,$228.51,$228.51,$196.32,ANZYNJW9IIF9C,1,B08RXVTKS8,1.95E+11,194768660474,B08RY22ZM1,New Balance,no
"New Balance Women's Fresh Foam 880v11, Virtual Sky/Wave, 10.5 Medium",146905,140331,,,,$257.96,$187.73,-,,B08RXV2Y2Z,1.95E+11,194768661822,B08RY22ZM1,New Balance,no
"New Balance Women's Fresh Foam 880v11, Black/Black, 8 Medium",148983,141160,,,,$273.15,$191.75,-,,B08RXVLCW2,1.95E+11,194768663079,B08RY22ZM1,New Balance,no
"New Balance Women's Fresh Foam 880v11, Arctic Fox/Uv Glo, 10.5 Medium",144101,141389,$144.69,1,$144.69,$235.98,$144.69,ANZYNJW9IIF9C,2,B08RXX45QH,1.95E+11,194768663772,B08RY22ZM1,New Balance,no
"New Balance Men's Fresh Foam 1080 V11 Running Shoe, Cyclone/Virtual Sky, 12",60899,61000,,,$213.81,$223.68,$187.23,ANZYNJW9IIF9C,1,B08BNJKTYX,1.95E+11,194768790218,B07RMK42HW,New Balance,no
"New Balance Women's Fresh Foam 1080 V11 Running Shoe, Uv Glo/Star Glo, 7.5",61910,58458,,,,$223.68,$188.69,-,,B08BNB21MY,1.95E+11,194768807817,B08BMSXBDC,New Balance,no
"New Balance Women's Fresh Foam 1080 V11 Running Shoe, Uv Glo/Star Glo, 9.5",62649,58626,,,,$189.98,$187.00,-,,B08BND2HWJ,1.95E+11,194768807855,B08BMSXBDC,New Balance,no
"THE NORTH FACE Women's Candescent Pullover, Vintage White/TNF Black, X-Large",769109,628480,,,,$159.46,$159.46,-,,B08C6NFCJ2,1.95E+11,194901710721,B08JD43WBP,THE NORTH FACE,no
THE NORTH FACE Vectiv Enduris Running Shoe - Women's TNF White/TNF Black 9,4337944,4037505,$127.24,,$127.24,$190.65,$127.20,ANZYNJW9IIF9C,1,B097NKXD88,1.95E+11,194902429868,B08RLNRQ4L,THE NORTH FACE,no
"THE NORTH FACE Terra 55L Backpack Agave Green/Sulphur Spring Green, L/XL",,184154,$210.93,,$210.93,$210.93,$210.93,ANZYNJW9IIF9C,1,B08N3783WH,1.95E+11,194904268465,,THE NORTH FACE,no
