Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (Stone Birkibuc, US Footwear Size System, Adult, Women, Numeric Range, Narrow, 7, 7.5)",185304,185304,$109.95 ,12,$109.95 ,$129.95 ,,-,0,B0CR4ZNP3Y,0736399994230,0736399994230,B0CZ1MTFP8,Birkenstock,yes
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (Velvet Gray Suede Soft Footbed, US Footwear Size System, Adult, Women, Numeric Range, Narrow, 5, 5.5)",33870,15492,,,$139.95 ,$139.95 ,,-,0,B0CR5KWM8S,0736399994810,0736399994810,B0CZ1MTFP8,Birkenstock,yes
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (Velvet Gray Suede Soft Footbed, US Footwear Size System, Adult, Women, Numeric Range, Narrow, 4, 4.5)",34735,15764,,,$139.95 ,$139.95 ,,-,0,B0CR5HJS5B,0736399994803,0736399994803,B0CZ1MTFP8,Birkenstock,yes
Birkenstock 1022243138 Sonora Ggr BRN Oil LTR R 38,572495,631880,$208.61 ,1,$208.61 ,$233.19 ,,-,0,B09NCJLR2G,0887759562382,0887759562382,B00INUXPD8,Birkenstock,yes
Birkenstock Arizona - Habana Oiled Leather EU 35 Narrow,39493,16880,,,$124.95 ,$139.95 ,,-,0,B0CRBK81RQ,0736399995169,0736399995169,B0CZ1MTFP8,Birkenstock,yes
Birkenstock Arizona - Habana Oiled Leather EU 40 Narrow,37197,16136,,,,$139.95 ,,-,,B0CRBLM4Q4,0736399995213,0736399995213,B0CZ1MTFP8,Birkenstock,yes
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (White Birko-Flor, US Footwear Size System, Adult, Women, Numeric Range, Narrow, 6, 6.5)",38309,16797,$109.95 ,4,$109.95 ,$109.95 ,,-,0,B0CR4GZGMG,0736399993516,0736399993516,B0CZ1MTFP8,Birkenstock,yes
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (Stone Birkibuc, US Footwear Size System, Adult, Women, Numeric Range, Narrow, 5, 5.5)",72247,27195,$109.95 ,1,$109.95 ,$109.95 ,,-,0,B0CR4GC7R8,0736399993868,0736399993868,B0CZ1MTFP8,Birkenstock,yes
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (White Birko-Flor, US Footwear Size System, Adult, Women, Numeric Range, Narrow, 4, 4.5)",35371,15619,$109.95 ,1,$109.95 ,$109.95 ,,-,0,B0CR4JP82M,0736399993493,0736399993493,B0CZ1MTFP8,Birkenstock,yes
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (Velvet Gray Suede Soft Footbed, US Footwear Size System, Adult, Women, Numeric Range, Narrow, 9, 9.5)",38348,16394,,,$139.95 ,$139.95 ,,-,0,B0CR5DFSB7,0736399994858,0736399994858,B0CZ1MTFP8,Birkenstock,yes
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (Stone Birkibuc, US Footwear Size System, Adult, Women, Numeric Range, Narrow, 9, 9.5)",66357,25430,$109.95 ,1,$109.95 ,$109.95 ,,-,0,B0CR4HVH9D,0736399993905,0736399993905,B0CZ1MTFP8,Birkenstock,yes
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (Stone Birkibuc, US Footwear Size System, Adult, Women, Numeric Range, Medium, 13, 13.5)",38575,16343,$109.95 ,8,$109.95 ,$109.95 ,,-,0,B0CR4H3XVV,0736399993820,0736399993820,B0CZ1MTFP8,Birkenstock,yes
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (Tobacco Oiled-Leather, US Footwear Size System, Adult, Women, Numeric Range, Narrow, 5, 5.5)",53745,21582,,,$129.95 ,$129.95 ,,-,0,B0CR56BFYF,0736399994131,0736399994131,B0CZ1MTFP8,Birkenstock,yes
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (Velvet Gray Suede Soft Footbed, US Footwear Size System, Adult, Women, Numeric Range, Medium, 12, 12.5)",37129,16157,,,$139.95 ,$139.95 ,,-,0,B0CR5JBDY7,0736399994957,0736399994957,B0CZ1MTFP8,Birkenstock,yes
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (White Birko-Flor, US Footwear Size System, Adult, Women, Numeric Range, Narrow, 5, 5.5)",35147,15464,$109.95 ,6,$109.95 ,$109.95 ,,-,0,B0CR4J1LYX,0736399993509,0736399993509,B0CZ1MTFP8,Birkenstock,yes
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (Mocha Suede Soft Footbed, US Footwear Size System, Adult, Women, Numeric Range, Narrow, 5, 5.5)",45098,18449,,,$139.95 ,$139.95 ,,-,0,B0CR5JQDYL,0736399994698,0736399994698,B0CZ1MTFP8,Birkenstock,yes
Birkenstock Arizona - Habana Oiled Leather EU 36 Narrow,494661,187842,,,$124.95 ,$139.95 ,,-,0,B0CRBLRGNT,0736399995176,0736399995176,B0CZ1MTFP8,Birkenstock,yes
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (Mocha Suede Soft Footbed, US Footwear Size System, Adult, Women, Numeric Range, Narrow, 6, 6.5)",790959,272055,$139.95 ,20,$139.95 ,$139.95 ,,-,0,B0CR5DHTHL,0736399994704,0736399994704,B0CZ1MTFP8,Birkenstock,yes
Birkenstock Arizona - Birko-Flor Gold Birko-Flor EU 39 Narrow,33150,16015,$109.95 ,1,$109.95 ,$109.95 ,$109.95 ,-,0,B0CR4H9MSN,0736399993417,0736399993417,B0CZ1MTFP8,Birkenstock,yes
Birkenstock Arizona - Birko-Flor Gold Birko-Flor EU 35 Narrow,38470,16502,$109.95 ,5,$109.95 ,$109.95 ,,-,0,B0CR4FKTPK,0736399993370,0736399993370,B0CZ1MTFP8,Birkenstock,yes
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (Dark Brown Natural Leather, US Footwear Size System, Adult, Women, Numeric Range, Narrow, 5, 5.5)",39060,16683,,,$119.95 ,$119.95 ,,-,0,B0CR58Z1PC,0736399994575,0736399994575,B0CZ1MTFP8,Birkenstock,yes
