"Title","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Buy Box 🚚: Current","Buy Box 🚚: Stock","New: Current","New: Highest","New, 3rd Party FBM 🚚: 30 days avg.","Lowest FBM Seller","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC","Parent ASIN","Brand","Prime Eligible (Buy Box)"
"Steve Madden Men's MAIVEN Sandal, Brown, 10.5","571023","629778","$ 79.31","","$ 79.31","$ 100.00","","-","0","B0CK64PXSN","0197116450710","197116450710","B0CGYWZSRN","Steve Madden","yes"
"Steve Madden Men's Maiven Sandal, Black Leather, 12","543520","655906","$ 100.00","","$ 81.51","$ 100.00","","-","0","B0CGZC9LX4","0197116450765","197116450765","B0CGYWZSRN","Steve Madden","yes"
"Steve Madden Men's Maiven Sandal, Black Leather, 9","620757","771226","$ 100.00","","$ 74.12","$ 100.00","","-","0","B0CGY6M3LR","0197116450642","197116450642","B0CGYWZSRN","Steve Madden","yes"
"Steve Madden Men's MAIVEN Sandal, Black, 8.5","636798","669262","$ 100.00","","$ 100.00","$ 100.00","","-","0","B0CK644WJ8","0197116450628","197116450628","B0CGYWZSRN","Steve Madden","yes"
"Steve Madden Men's MAIVEN Sandal, Black, 9.5","595748","644574","$ 100.00","","$ 100.00","$ 100.00","","-","0","B0CK651M4R","0197116450666","197116450666","B0CGYWZSRN","Steve Madden","yes"
"Steve Madden Men's MAIVEN Sandal, Black, 7.5","567205","655044","$ 100.00","","$ 100.00","$ 100.00","","-","0","B0CK642WD5","0197116450581","197116450581","B0CGYWZSRN","Steve Madden","yes"
"Steve Madden Women's Luminesce Heeled Sandal, Denim, 8","633678","640163","$ 39.95","10","$ 39.95","$ 129.99","$ 39.95","A1G9RBEK6CB71F","1","B0BQSZ3S7W","0197369062807","197369062807","B0BQT2374P","Steve Madden","no"
"Steve Madden Amulet Boot Sand Suede 6 M","222798","157849","$ 59.99","3","$ 59.99","$ 129.95","$ 59.99","AKIFZQ9THW6DD","1","B097BJW39D","0195945516874","195945516874","B0CW1Z4XJ6","Steve Madden","no"
"Steve Madden Womens Vivee Sequined Over-The-Knee Boots Silver 5 Medium (B,M)","407653","290884","$ 36.58","5","$ 23.99","$ 74.88","$ 34.24","A24V851RG6UNB7","2","B0CK56XBWW","0196361844015","196361844015","B0C63N1NZZ","Steve Madden","no"
"Steve Madden Womens Vivee Stretch Over-The-Knee Boots Blue 7.5 Medium (B,M)","416521","255931","$ 105.98","","$ 105.98","$ 105.98","","-","1","B0CJ643WYM","0196361843575","196361843575","B0C63N1NZZ","Steve Madden","no"
"Steve Madden Women's Vivee Over-The-Knee Boot, Black Paris, 6","364842","276245","$ 40.67","34","$ 27.25","$ 133.59","$ 42.60","A1G9RBEK6CB71F, A24V851RG6UNB7","2","B0BHWC9YRP","0196361843469","196361843469","B0C63N1NZZ","Steve Madden","no"
"Steve Madden Womens Vivee Sequined Over-The-Knee Boots Silver 8 Medium (B,M)","389237","293470","$ 54.96","2","$ 41.99","$ 129.95","$ 56.60","A24V851RG6UNB7","2","B0BG6SVPW9","0196361844077","196361844077","B0C63N1NZZ","Steve Madden","no"
"Steve Madden Womens Vivee Sequined Over-The-Knee Boots Silver 6 Medium (B,M)","401939","288036","","","$ 23.99","$ 267.59","","-","0","B0BHWBQL7B","0196361844039","196361844039","B0C63N1NZZ","Steve Madden","no"
"Steve Madden Men's Duke Chelsea Boot, Black Leather, 8","375637","323534","","","","$ 140.00","","-","","B09T78JY53","0194976417518","194976417518","B09T7PS1SH","Steve Madden","yes"
"Steve Madden Women's Kenley Heeled Sandal, Citron, 5.5","222393","245931","$ 38.59","1","$ 26.39","$ 129.00","$ 31.38","A24V851RG6UNB7","2","B08XPBV85Y","0195189746389","195189746389","B096WSTG2P","Steve Madden","no"
"Steve Madden Women's MOXXI Heeled Sandal, Light Blue, 9.5","247457","469414","","","","$ 113.87","$ 25.34","-","","B09GWD1QTC","0196361101231","196361101231","B09GWTT9W7","Steve Madden","yes"
