"Title","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Buy Box 🚚: Current","Buy Box 🚚: Stock","New: Current","New: Highest","New, 3rd Party FBM 🚚: 30 days avg.","Lowest FBM Seller","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC","Parent ASIN","Brand","Prime Eligible (Buy Box)"
"Birkenstock New Women's Arizona Sandal Sky Nubuck 40 N,9-9.5 Narrow Women7-7.5 Narrow Men","62422","69656","$ 125.00","2","$ 125.00","$ 243.09","$ 125.00","A1C20BH4U0AX41","3","B093T45M6Y","0886454955062","886454955062","B09XP33DDH","Birkenstock","no"
"Birkenstock New Women's Arizona Sandal Lilac Nubuck 38 N,7","61443","70350","$ 134.90","1","$ 134.90","$ 235.93","$ 128.64","A2TVRE2CB5TELZ","1","B093T32QSV","0886454955307","886454955307","B09XP33DDH","Birkenstock","no"
"Birkenstock Women's Arizona Shearling Sandals, Mountain View/Natural, White, Green, 9-9.5 Medium US","86901","154695","","","$ 179.95","$ 284.07","$ 179.95","A1C20BH4U0AX41","1","B099P42JLV","0886454945681","886454945681","B01MSYS2UL","Birkenstock","no"
"Birkenstock 1020716338 Arizona SFB Midnight Sd N 38","1434831","1638265","","","$ 148.50","$ 243.09","$ 145.06","AB8PP5ABO5Y5C","3","B094NZJRZH","0886454862896","886454862896","B0CJ4G3THV","Birkenstock","yes"
"Birkenstock 1020716340 Arizona SFB Midnight Sd N 40","1428807","1628325","$ 110.00","3","$ 110.00","$ 235.94","$ 89.00","-","1","B094NY5Q11","0886454862957","886454862957","B0CJ4G3THV","Birkenstock","no"
"Birkenstock Men's Kyoto Grip Suede Slides, Midnight, Blue, 11-11.5 Women/9-9.5 Men","1436389","1682840","$ 167.74","1","$ 167.74","$ 280.95","$ 167.74","AB8PP5ABO5Y5C","2","B09NCZF5FQ","0886454865491","886454865491","B0CJ4G3THV","Birkenstock","no"
"Birkenstock Boston Shearling Suede Leather Clogs M Mocha","166743","264559","","","$ 288.00","$ 350.02","$ 289.65","ANZYNJW9IIF9C","4","B09F9DDJN1","0886454831434","886454831434","B07CS9Z7Z7","Birkenstock","no"
"Birkenstock Buckley Shearling Soft Pink/Soft Pink Suede/Shearling 37 (US Women's 6-6.5) Narrow","567585","472086","","","","$ 291.89","$ 184.27","-","","B09BLYKDRW","0886454848760","886454848760","B0C2VGKD7H","Birkenstock","no"
"Birkenstock 1020716341 Arizona SFB Midnight Sd N 41","1453197","1664383","$ 135.00","2","$ 135.00","$ 243.86","$ 135.00","A1C20BH4U0AX41","3","B094NWWYR8","0886454862988","886454862988","B0CJ4G3THV","Birkenstock","no"
"Birkenstock Men's Arizona Shearling Sandals, Iron/Natural, Grey, Tan, 10 Medium US","88085","140010","$ 150.00","2","$ 150.00","$ 238.51","$ 150.00","A1C20BH4U0AX41","1","B0989TSCKS","0886454951699","886454951699","B01MSYS2UL","Birkenstock","no"
"Birkenstock 1021078342 Buckley Night Sd N 42","725795","751150","","","$ 261.33","$ 267.40","$ 262.46","ANZYNJW9IIF9C","3","B094QDNJFZ","0886454954447","886454954447","B0BZQS8PKW","Birkenstock","yes"
"Birkenstock New Women's Arizona Sandal Lilac Nubuck 41 N,10","61059","67994","$ 155.00","1","$ 155.00","$ 243.09","$ 187.98","-","0","B093T4N11Y","0886454955390","886454955390","B09XP33DDH","Birkenstock","yes"
"Birkenstock 1021112140 Franca Black Oil LTR R 40","170146","262048","$ 113.28","1","$ 113.28","$ 235.50","$ 134.02","A1C20BH4U0AX41","3","B094PZ424P","0886454953143","886454953143","B07CS9Z7Z7","Birkenstock","yes"
"Birkenstock 1009353325 Milano Black Eva 25","225338","543431","$ 34.95","7","$ 34.95","$ 79.95","$ 52.59","-","0","B08P3QZ8NB","0886457059736","886457059736","B0CDVGBFR1","Birkenstock","yes"
"Birkenstock Women's Mayari Vegan Birko-Flor Anthracite Pull Up 42 R","8123","7632","","","$ 187.98","$ 189.98","$ 187.98","A1B43WMIJ58I3U","1","B074S79TSG","0886457069742","886457069742","B001EJNMXS","Birkenstock","no"
"Birkenstock 1009526138 Arizona SFB Mink Sd 38","95589","114215","","","$ 243.36","$ 243.36","$ 159.28","ANZYNJW9IIF9C","1","B079JZX279","0886457071325","886457071325","B073H46FB1","Birkenstock","no"
"Birkenstock 1009526140 Arizona SFB Mink Sd 40","4558","7860","","","","$ 263.62","$ 230.18","-","","B079K5YT4M","0886457071349","886457071349","B00BUQ4ADQ","Birkenstock","no"
"Birkenstock Men's Arizona Soft Footbed Sandals, Mink, Tan, 12 Medium US","4500","7868","","","$ 105.99","$ 236.62","$ 138.79","A2E1VN4OEXE0LB","1","B079KCL3R7","0886457071394","886457071394","B00BUQ4ADQ","Birkenstock","no"
"Birkenstock 1009527342 Arizona SFB Mink Sd 42","1665712","2037141","","","","$ 243.36","$ 99.95","-","","B079JYL9RS","0886457071486","886457071486","B0CLYYHN1D","Birkenstock","yes"
"Birkenstock Women's Arizona SFB Sandals, Mink, Tan, 7-7.5 Medium US","87527","82148","","","","$ 250.73","$ 147.48","-","","B079K4LDCD","0886457071448","886457071448","B01MSYS2UL","Birkenstock","yes"
"Birkenstock Men's Boston Soft Footbed Clogs, Mink, Brown, 9 Medium US","254409","368586","$ 160.00","8","$ 160.00","$ 293.09","$ 179.00","A1C20BH4U0AX41","3","B079K85ZC9","0886457073282","886457073282","B0764LP9HS","Birkenstock","yes"
"Birkenstock Men's Boston Soft Footbed Clogs, Mink, Brown, 10 Medium US","280145","379695","$ 160.00","13","$ 160.00","$ 298.53","$ 175.15","A1C20BH4U0AX41","3","B079K58RC1","0886457073299","886457073299","B0764LP9HS","Birkenstock","yes"
"Birkenstock Men's Boston Soft Footbed Clogs, Mink, Brown, 11 Medium US","49194","1645593","","","$ 171.92","$ 189.99","$ 177.89","A1C20BH4U0AX41","1","B079K4HCZW","0886457073305","886457073305","B000HDNWFK","Birkenstock","yes"
"Birkenstock Women's Boston Soft Footbed Clogs, Mink, Tan, 6-6.5 Medium US","276569","390393","","","$ 274.65","$ 294.96","$ 277.71","-","3","B079K629CG","0886457073350","886457073350","B0764LP9HS","Birkenstock","no"
"Birkenstock Women's Boston Soft Footbed Clogs, Mink, Tan, 8-8.5 Medium US","49198","34033","$ 160.00","5","$ 160.00","$ 272.48","$ 160.00","A1C20BH4U0AX41","1","B079K497VV","0886457073374","886457073374","B000HDNWFK","Birkenstock","no"
"Birkenstock New Women's Mayari Vegan Sandal Pull Up Stone 42 R","167149","256392","$ 99.95","6","$ 99.95","$ 189.98","$ 99.95","A3DQY03E03JMV9","3","B074S6DGPD","0886457110178","886457110178","B07CS9Z7Z7","Birkenstock","no"
"Birkenstock 1011072138 Arizona Bb Cognac LTR 38","280475","221455","","","$ 180.00","$ 284.07","$ 164.78","-","0","B08XDYSKMN","0886457178062","886457178062","B09M7NT55S","Birkenstock","no"
"Birkenstock 1011072140 Arizona Bb Cognac LTR 40","277781","210790","","","$ 170.00","$ 284.07","$ 191.50","-","0","B08XDLJLGM","0886457178086","886457178086","B09M7NT55S","Birkenstock","yes"
"Birkenstock Women's Arizona Big Buckle Sandals, Antique Cognac, Brown, 7-7.5 Narrow","298582","538631","$ 200.00","1","$ 170.00","$ 299.36","$ 205.29","A3NGEZYS7P4IJV","5","B079RM5P9N","0886457179151","886457179151","B09M7NT55S","Birkenstock","no"
"Birkenstock 1021203336 Franca Black Oil LTR N 36","162682","257451","$ 131.77","1","$ 129.95","$ 228.57","$ 129.95","A2F3U3NJJC3IJO","4","B094Q45C29","0886454982228","886454982228","B07CS9Z7Z7","Birkenstock","yes"
"Birkenstock Arizona Soft Footbed Sandals, Mink, Tan, 11-11.5 Women/9-9.5 Men","95162","115214","$ 129.00","8","$ 129.00","$ 144.95","$ 112.78","A1C20BH4U0AX41","1","B079K6K415","0886457071363","886457071363","B073H46FB1","Birkenstock","no"
"Birkenstock Women's Arizona Big Buckle Sandals, Black, 6-6.5 Narrow","206633","343496","","","$ 190.00","$ 284.00","$ 240.14","A1QFV54JFUWZAD","5","B079RL3SJT","0886457179328","886457179328","B0C1HNT23H","Birkenstock","no"
"Birkenstock Women's Arizona Big Buckle Sandals, Black, 8 Narrow US","309211","546516","$ 170.00","1","$ 170.00","$ 288.99","$ 170.00","A1C20BH4U0AX41","1","B079RLTWQS","0886457179342","886457179342","B09M7NT55S","Birkenstock","no"
"Birkenstock Women's Arizona Big Buckle Sandals, Black, 10-10.5 Narrow","194186","342358","","","$ 275.71","$ 284.07","$ 237.50","ANZYNJW9IIF9C","1","B079RKKS5M","0886457179366","886457179366","B0C1HNT23H","Birkenstock","no"
"Birkenstock 1011432136 Florida SFB TOB Oil LTR 36","475192","550182","","","$ 241.09","$ 259.07","$ 146.96","A1QFV54JFUWZAD","3","B074RMV37G","0886457213312","886457213312","","Birkenstock","no"
"Birkenstock 1011432138 Florida SFB TOB Oil LTR 38","252587","341965","$ 145.00","19","$ 145.00","$ 159.95","$ 131.79","A1C20BH4U0AX41","3","B074RM7Z82","0886457213336","886457213336","","Birkenstock","no"
"Birkenstock Men's Boston Soft Footbed Clogs, Mink, Brown, 13 Medium US","49868","2202409","","","$ 179.00","$ 298.53","$ 187.38","A1C20BH4U0AX41","1","B079K4WMGG","0886457073329","886457073329","B000HDNWFK","Birkenstock","yes"
"Birkenstock 1011432140 Florida SFB TOB Oil LTR 40","399549","428184","$ 124.01","4","$ 123.51","$ 159.95","$ 125.84","AB8PP5ABO5Y5C","5","B074RM389R","0886457213350","886457213350","","Birkenstock","no"
"Birkenstock 1009526137 Arizona SFB Mink Sd 37","4502","7905","$ 135.00","6","$ 135.00","$ 135.00","$ 132.44","A1C20BH4U0AX41","3","B079K5PT1V","0886457071318","886457071318","B00BUQ4ADQ","Birkenstock","no"
"Birkenstock Womens Yara Leather Open Toe Casual Strappy Sandals, Mocha, Size 8.0","147474","229798","$ 135.00","24","$ 135.00","$ 188.99","$ 135.00","A1C20BH4U0AX41","2","B0791LRVS7","0886457213978","886457213978","B00ES8FEQ0","Birkenstock","no"
"Birkenstock 1009353331 Milano Black Eva 31","230020","539296","$ 34.95","","$ 34.95","$ 79.95","$ 49.95","A1C20BH4U0AX41","1","B08P3QBNWW","0886457059798","886457059798","B0CDVGBFR1","Birkenstock","yes"
