Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"Steve Madden West Black Leather Pull On Pointed Toe Block Heel Western Boots (Black Leather, 9)",557558,550588,$58.99 ,6,$54.99 ,$199.95 ,$60.25 ,A1G9RBEK6CB71F,2,B09J8DY9G2,0196361038360,1.96361E+11,B09L131Q3Y,Steve Madden,no
"Steve Madden Womens Udell Leather Slip On Wedge Sandals White 8.5 Medium (B,M)",1277211,813980,,,$73.68 ,$99.95 ,$83.80 ,A24V851RG6UNB7,3,B0BT1PH4B8,0196829732496,1.9683E+11,B0CYP37B9K,Steve Madden,yes
"New Balance Men's Heather Tech Short Sleeve, Black , Medium",990975,664225,,,$31.49 ,$31.49 ,$30.99 ,-,1,B08CWBTZXJ,0194768632686,1.94769E+11,B09Z7M3TPF,New Balance,yes
"Steve Madden Women's Alessi Pump, Clear Jewel Buckle, 6.5",761039,892654,$59.95 ,2,$59.95 ,$129.99 ,$60.62 ,A1G9RBEK6CB71F,1,B0984MVT9S,0195945707531,1.95946E+11,B08KT4HCXT,Steve Madden,no
Brooks Mens Levitate 2 Running Shoe - Black/Teal/Navy - D - 15.0,751745,761549,,,,$148.73 ,,-,,B07DRMYVGF,0190340386459,1.9034E+11,B07DS3N9MD,Brooks,no
"Steve Madden mens Proctr Oxford, Black Leather, 8.5 US",534982,558693,,,$192.48 ,$224.18 ,$192.48 ,A1195MQ583AB5O,1,B07VFVNNXJ,0803364817426,8.03365E+11,B0BG21MPZC,Steve Madden,yes
"Steve Madden Women's Bossy Heeled Sandal, Black Leather, 7.5",687624,691903,,,$45.59 ,$109.95 ,$49.95 ,A3V17JP5RCORRR,3,B0B5Y7ZTX4,0196361369341,1.96361E+11,B0C67N9W66,Steve Madden,no
Brooks Mens Ghost 15 Running Shoe - Peacoat/Blue/Orange Pop - 8.0 - 2E,596981,343114,$158.09 ,3,$158.09 ,$249.59 ,$244.89 ,A325BWLW9IYYOY,1,B09RRW55ST,0195394138986,1.95394E+11,,Brooks,no
"Steve Madden Women's Cobra Fashion Boot, Multi Glitter, 5.5",454471,366326,$45.99 ,7,$45.99 ,$132.21 ,$45.99 ,A3V17JP5RCORRR,1,B0B5YCYH9D,0196829197080,1.96829E+11,B09LC6B63N,Steve Madden,no
"New Balance Women's Nitrel V3 Running Shoe, Summer Fog/Marblehead, 6 W US",489477,571795,$59.90 ,3,$59.90 ,$124.38 ,$59.90 ,AE1A1GREFL29I,3,B07HG1Y77Q,0193362309567,1.93362E+11,B093SJH3MN,New Balance,no
"New Balance Women's FuelCell Propel V2 Running Shoe, White/Neo Flame, 12",545259,592752,,,$145.62 ,$182.57 ,$143.48 ,A1B43WMIJ58I3U,1,B08161Z55F,0194389529402,1.9439E+11,B084B2ZYJZ,New Balance,no
"New Balance Women's Nitrel V3 Running Shoe, Steel/Voltage Violet, 7 M US",483206,572157,,,$79.99 ,$109.99 ,$89.98 ,A1DY586QNIG1RC,1,B07PDLJ17Q,0193684098453,1.93684E+11,B093SJH3MN,New Balance,yes
"Steve Madden Women's Clyde-R Sandal, Black, 10",735160,754086,$45.79 ,1,$33.99 ,$89.00 ,$65.82 ,A24V851RG6UNB7,1,B09M7FKGP4,0196361420882,1.96361E+11,B09GWRG7LG,Steve Madden,no
Steve Madden Reverie Heeled Sandal Natural Suede 11 M,493257,563921,$122.62 ,1,$122.62 ,$145.35 ,,A1195MQ583AB5O,1,B08VW6541F,0195945021941,1.95945E+11,B0937NRK7F,Steve Madden,no
"Steve Madden Women's Sarantos Pump, Blue Satin, 8.5",547135,464394,,,$85.66 ,$99.95 ,$57.47 ,A1LEM297LNF1FK,1,B0BPDX4G96,0197369055311,1.97369E+11,B0BPFPPMTX,Steve Madden,no
"Steve Madden Women's Jessa Heeled Sandal, Brown Leather, 10",622600,622600,$78.26 ,,$78.26 ,$78.26 ,,-,0,B0CRG3N8S3,0198024369705,1.98024E+11,B0CRGBSXVS,Steve Madden,yes
Brooks Men's Caldera 5 Trail Running Shoe - Black/Orange/Blue - 9.5,730902,639513,,,$175.82 ,$175.82 ,$142.05 ,A1B43WMIJ58I3U,2,B08PDH7P47,0190340883750,1.90341E+11,B08QVY2SHC,Brooks,no
LifeStride Womens Neon Slip-on Blush 9.5 W,608120,570334,,,$83.11 ,$97.22 ,$83.12 ,-,1,B081HG21FK,0748149657821,7.4815E+11,B0CRVX8YBZ,LifeStride,yes
LifeStride Womens Neon Slip-on Navy 8 M,655231,609450,,,,$69.99 ,,-,,B081HF8JGR,0748149657647,7.4815E+11,B0CRVX8YBZ,LifeStride,no
"Steve Madden Women's Reverie Heeled Sandal, Natural Suede, 9",564256,496294,,,$129.42 ,$173.99 ,$144.09 ,A1195MQ583AB5O,1,B08SKKWQRR,0195945021880,1.95945E+11,B0937NRK7F,Steve Madden,no
LifeStride Womens Neon Slip-on Blush 6.5 M,571557,584984,$54.99 ,1,$54.99 ,$74.99 ,$54.99 ,A1EA4W4NX7SS7Y,1,B081HG786P,0748149657951,7.4815E+11,B0CRVX8YBZ,LifeStride,no
"Steve Madden Women's Alessi Pump, Tan, 7.5",547647,695547,$59.07 ,1,$47.26 ,$176.15 ,$62.64 ,-,2,B08JLN8VTV,0195189348750,1.95189E+11,B08KT4HCXT,Steve Madden,no
"New Balance Men's FuelCell Echo V1 Running Shoe, Light Aluminum/Black, 10",1091897,1081461,,,$184.40 ,$189.74 ,$184.40 ,ANZYNJW9IIF9C,1,B0815Q5GZ3,0194389538329,1.9439E+11,B0CMY1GX1V,New Balance,no
Brooks Men's Caldera 5 Trail Running Shoe - Red/Black/Nightlife - 11.5,713343,605102,$108.98 ,2,$99.99 ,$168.20 ,$114.95 ,AZ3XNKNN838E9,1,B08QVH4TJS,0190340883491,1.90341E+11,B08QVY2SHC,Brooks,no
"Steve Madden Indiana Women's Fashion Sneaker Beige/Multi, 10 M US",1415598,1265630,$54.98 ,,$54.98 ,$54.99 ,,-,0,B0CNY84DGP,0196829869888,1.9683E+11,B0CVBLZD2M,Steve Madden,yes
"New Balance 530 Unisex Sneakers, Grey, 6.5 US Women/5 US Men",548853,788710,$134.49 ,2,$126.54 ,$204.09 ,$134.53 ,AF4GO035LHAA2,1,B08CT2CFYN,0194182854619,1.94183E+11,B0CQ5GVMT3,New Balance,no
New Balance Men's Fresh Foam X 860 V13 Running Shoe Nb Navy/Ginger Lemon/Neo Flame 10.5 Wide,590542,320896,,,,$198.39 ,$243.84 ,-,,B0C34K1VY2,0197375258409,1.97375E+11,,New Balance,yes
"Steve Madden Cleo Taupe Suede Chunky Lug Sole Curb Chain Round Toe Ankle Boots (Taupe Suede, 9.5)",664791,673752,$39.95 ,,$39.95 ,$79.99 ,,-,1,B0BR4GJR7L,0196829160022,1.96829E+11,B0BR4H6PH3,Steve Madden,no
"Steve Madden Womens Wells Leather Harness Chelsea Boots Black 11 Medium (B,M)",910309,845824,$52.28 ,2,$38.39 ,$89.14 ,$48.29 ,A24V851RG6UNB7,2,B0CH44PV5G,0196361651699,1.96362E+11,B09QHM2DLQ,Steve Madden,no
"Steve Madden Women's Alessi Pump, Clear, 6",566436,720731,$79.95 ,4,$79.95 ,$157.99 ,$81.34 ,A1G9RBEK6CB71F,2,B08KSFRYH6,0195189348620,1.95189E+11,B08KT4HCXT,Steve Madden,no
"New Balance womens 669 V2 Walking Shoe, Chocolate Brown/Chocolate Brown, 8.5 US",555942,451957,,,$99.99 ,$120.00 ,$109.57 ,A3BSCZERD91AOE,1,B07HGD5THH,0193362314554,1.93362E+11,B0CTDGD7H3,New Balance,yes
LifeStride Neon Olive 8 M (B),629784,596024,$39.24 ,1,$27.59 ,$79.25 ,$46.26 ,A24V851RG6UNB7,2,B09CQ6N7VR,0017134857257,017134857257,B0CRVX8YBZ,LifeStride,no
Steve Madden Dorothea Mushroom 10 M,1577240,1506329,$59.87 ,,$59.87 ,$63.36 ,,-,0,B0CCY6F2BP,0197369279328,1.97369E+11,B0CCYKT9D5,Steve Madden,yes
Steve Madden Dorothea Black Suede 9 M,1762479,1560616,$59.87 ,,$59.87 ,$60.59 ,,-,0,B0CCY5H2MT,0197369371985,1.97369E+11,B0CCYKT9D5,Steve Madden,yes
