Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Custom_SKU,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Blacklisted,Curr_Listed?,Buy Box ðŸšš: Stock,"New, 3rd Party FBM ðŸšš: 30 days avg.",Prime Eligible (Buy Box),Buy Box : Current,Buy Box : Stock,Buy Bo : Current,Buy Box ðŸšš: Current,Curr_match,Buy Box 🚚: Stock,"New, 3rd Party FBM 🚚: 30 days avg.",Buy Box 🚚: Current
Kate Spade New York Staci Small Saffiano Leather Satchel Bag in Black,1349227.0,1276082.0,,,$189.00,,,,A1ZOO4O7Q3NVOD,1.0,B08NQ6F8VF,767883696262,GB767883696262,767883696262.0,,Kate Spade New York,,https://www.google.com/search?q=767883696262+Kate+Spade+New+York+Staci+Small+Saffiano+Leather+Satchel+Bag+in+Black&tbm=shop,Y,https://www.amazon.com/dp/B08NQ6F8VF?psc=1,"https://www.google.com/shopping/product/15942053144267113777/offers?q=767883696262&prds=cid:15942053144267113777,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
Buffalo David Bitton High-Rise Cutoffs Shorts/Joan in Indigo Indigo 30,,,$27.60,,$27.60,,,,-,0.0,B0991RG56G,193851948239,GB193851948239,193851948239.0,,Buffalo David Bitton,,https://www.google.com/search?q=193851948239+Buffalo+David+Bitton+High-Rise+Cutoffs+Shorts%2FJoan+in+Indigo+Indigo+30&tbm=shop,Y,https://www.amazon.com/dp/B0991RG56G?psc=1,"https://www.google.com/shopping/product/15942031396518735560/offers?q=193851948239&prds=cid:15942031396518735560,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Kate Spade New York Pave Heart Ring, Size 7",1322436.0,1481483.0,$49.76,2.0,$49.76,,,,A1EUAW10N8919K,1.0,B0768P6SHG,98686675551,GB98686675551,98686675551.0,,Kate Spade New York,,https://www.google.com/search?q=98686675551+Kate+Spade+New+York+Pave+Heart+Ring%2C+Size+7&tbm=shop,Y,https://www.amazon.com/dp/B0768P6SHG?psc=1,"https://www.google.com/shopping/product/15870135235917882617/offers?q=98686675551&prds=cid:15870135235917882617,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
Kate Spade Rosie Rosie North South Swingpack Crossbody (Warm gingerbread),153005.0,820925.0,$104.17,5.0,$97.89,,,,AM9VLOTH8Y9Z3,3.0,B0CNF2D5FK,196021369292,GB196021369292,196021369292.0,B0CNDZGHNN,Kate Spade New York,,https://www.google.com/search?q=196021369292+Kate+Spade+Rosie+Rosie+North+South+Swingpack+Crossbody+%28Warm+gingerbread%29&tbm=shop,Y,https://www.amazon.com/dp/B0CNF2D5FK?psc=1,"https://www.google.com/shopping/product/15791653260583674204/offers?q=196021369292&prds=cid:15791653260583674204,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Lacoste mens Hapona Sneaker, Black/Black, 9 US",967782.0,934743.0,,,,,,,-,,B08BR7RS63,193367537897,GB193367537897,193367537897.0,B07T2FR3KJ,Lacoste,,https://www.google.com/search?q=193367537897+Lacoste+mens+Hapona+Sneaker%2C+Black%2FBlack%2C+9+US&tbm=shop,Y,https://www.amazon.com/dp/B08BR7RS63?psc=1,"https://www.google.com/shopping/product/15624429813004539387/offers?q=193367537897&prds=cid:15624429813004539387,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
Kate Spade New York Sam Icon Nylon Small Tote Ks Green One Size,1086858.0,1201812.0,,,,,,,-,,B0BPY1DRDB,196021264429,GB196021264429,196021264429.0,B0CNL1XBXF,Kate Spade New York,,https://www.google.com/search?q=196021264429+Kate+Spade+New+York+Sam+Icon+Nylon+Small+Tote+Ks+Green+One+Size&tbm=shop,Y,https://www.amazon.com/dp/B0BPY1DRDB?psc=1,"https://www.google.com/shopping/product/15563643602475466594/offers?q=196021264429&prds=cid:15563643602475466594,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
Kate Spade New York Saffron Pale Gold 7 M,3665728.0,3659243.0,,,$107.93,,,,ACTZ4HD4YIH8O,1.0,B09W5GL8SG,196021088223,GB196021088223,196021088223.0,B0B8DXYZVZ,Kate Spade New York,,https://www.google.com/search?q=196021088223+Kate+Spade+New+York+Saffron+Pale+Gold+7+M&tbm=shop,Y,https://www.amazon.com/dp/B09W5GL8SG?psc=1,"https://www.google.com/shopping/product/15550220092306323711/offers?q=196021088223&prds=cid:15550220092306323711,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
Kate Spade New York Julep Black/French Cream 7.5 B (M),4398102.0,4166266.0,,,$114.11,,,,-,1.0,B08V5RQ83N,767883070192,GB767883070192,767883070192.0,B08T7MBVMH,Kate Spade New York,,https://www.google.com/search?q=767883070192+Kate+Spade+New+York+Julep+Black%2FFrench+Cream+7.5+B+%28M%29&tbm=shop,Y,https://www.amazon.com/dp/B08V5RQ83N?psc=1,"https://www.google.com/shopping/product/15546955011934034738/offers?q=767883070192&prds=cid:15546955011934034738,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Kate Spade New York Women's Small Lottie Satchel, Black, One Size",4163151.0,3812454.0,$199.99,2.0,$198.97,,,,AWBEWNWKW3C99,2.0,B078WX64SZ,98687219716,GB98687219716,98687219716.0,B07F1ZYMGK,Kate Spade New York,,https://www.google.com/search?q=98687219716+Kate+Spade+New+York+Women%27s+Small+Lottie+Satchel%2C+Black%2C+One+Size&tbm=shop,Y,https://www.amazon.com/dp/B078WX64SZ?psc=1,"https://www.google.com/shopping/product/15478183324809847774/offers?q=98687219716&prds=cid:15478183324809847774,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Kate Spade New York Women's Alianna/G/S Square Sunglasses, Havan Beige/Dark Gray Gradient, One Size",766517.0,859037.0,$74.41,2.0,$59.46,,,,A2857RBU562CVM,1.0,B07VCFZ87Q,716736208190,GB716736208190,716736208190.0,B093KN6VV5,Kate Spade New York,,https://www.google.com/search?q=716736208190+Kate+Spade+New+York+Women%27s+Alianna%2FG%2FS+Square+Sunglasses%2C+Havan+Beige%2FDark+Gray+Gradient%2C+One+Size&tbm=shop,Y,https://www.amazon.com/dp/B07VCFZ87Q?psc=1,"https://www.google.com/shopping/product/15422488472683767913/offers?q=716736208190&prds=cid:15422488472683767913,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
Kate Spade New York Joy Dot Silk Twill Shirt Citrine Blue MD (US 6-8),,,$136.40,,$136.40,,,,-,0.0,B0BBM19VSP,196021147074,GB196021147074,196021147074.0,,Kate Spade New York,,https://www.google.com/search?q=196021147074+Kate+Spade+New+York+Joy+Dot+Silk+Twill+Shirt+Citrine+Blue+MD+%28US+6-8%29&tbm=shop,Y,https://www.amazon.com/dp/B0BBM19VSP?psc=1,"https://www.google.com/shopping/product/15310197936213742712/offers?q=196021147074&prds=cid:15310197936213742712,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
Kate Spade New York Schuyler Medium Leather Tote Shoulder Bag in Parchment,1365995.0,1182085.0,$149.63,1.0,$142.00,,,,AM9VLOTH8Y9Z3,2.0,B09Y36Q4CQ,196021079566,GB196021079566,196021079566.0,,Kate Spade New York,,https://www.google.com/search?q=196021079566+Kate+Spade+New+York+Schuyler+Medium+Leather+Tote+Shoulder+Bag+in+Parchment&tbm=shop,Y,https://www.amazon.com/dp/B09Y36Q4CQ?psc=1,"https://www.google.com/shopping/product/15287406272694685139/offers?q=196021079566&prds=cid:15287406272694685139,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
Buffalo David Bitton High-Rise Cutoffs Shorts/Joan in Indigo Indigo 31,,,$27.60,,$27.60,,,,-,0.0,B0991XW329,193851948246,GB193851948246,193851948246.0,,Buffalo David Bitton,,https://www.google.com/search?q=193851948246+Buffalo+David+Bitton+High-Rise+Cutoffs+Shorts%2FJoan+in+Indigo+Indigo+31&tbm=shop,Y,https://www.amazon.com/dp/B0991XW329?psc=1,"https://www.google.com/shopping/product/15277234544085802362/offers?q=193851948246&prds=cid:15277234544085802362,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Laura Mercier Silk Creme Moisturizing Photo Edition for WoMen, Foundation, Pecan, 1 Ounce",219133.0,185052.0,,,$47.77,,,,A1STZ8L76D7HDI,1.0,B00V3AG5FU,736150142054,GB736150142054,736150142054.0,B073QBHJDS,Laura Mercier,,https://www.google.com/search?q=736150142054+Laura+Mercier+Silk+Creme+Moisturizing+Photo+Edition+for+WoMen%2C+Foundation%2C+Pecan%2C+1+Ounce&tbm=shop,Y,https://www.amazon.com/dp/B00V3AG5FU?psc=1,"https://www.google.com/shopping/product/15100948696802314307/offers?q=736150142054&prds=cid:15100948696802314307,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
Kate Spade New York Tilda Black 9.5 M,,,$72.23,,$72.23,,,,-,0.0,B09B9RJZ3S,767883249208,GB767883249208,767883249208.0,,Kate Spade New York,,https://www.google.com/search?q=767883249208+Kate+Spade+New+York+Tilda+Black+9.5+M&tbm=shop,Y,https://www.amazon.com/dp/B09B9RJZ3S?psc=1,"https://www.google.com/shopping/product/14994434094428436815/offers?q=767883249208&prds=cid:14994434094428436815,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
Kate Spade New York Vale Leopard 5.5 B (M),8467815.0,8217352.0,$87.98,1.0,$87.98,,,,ACTZ4HD4YIH8O,1.0,B091CC1HKV,767883128237,GB767883128237,767883128237.0,,Kate Spade New York,,https://www.google.com/search?q=767883128237+Kate+Spade+New+York+Vale+Leopard+5.5+B+%28M%29&tbm=shop,Y,https://www.amazon.com/dp/B091CC1HKV?psc=1,"https://www.google.com/shopping/product/14987351237239919061/offers?q=767883128237&prds=cid:14987351237239919061,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
