Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Black_list,PID
"New Balance MX608 Men's Crosstrainer, Size: 8.5 Width: 4E Color: White",403994,422026,145,2,145,,,A3PFLGVU7NSC7M,1,B0000E2X3N,613860571292,613860571292,B06XRV2W8H,New Balance,,GB613860571292,https://www.google.com/search?q=613860571292+New+Balance+MX608+Men%27s+Crosstrainer%2C+Size%3A+8.5+Width%3A+4E+Color%3A+White&tbm=shop,Y,https://www.amazon.com/dp/B0000E2X3N?psc=1,"https://www.google.com/shopping/product/11811330904220654793/offers?q=613860571292&prds=cid:11811330904220654793,cond:1",New Balance,84.94,144.4,160.54,144,Y,V,9223211986526663336
"New Balance Men's FuelCell 4040 V6 Metal Baseball Shoe, Black/Pebble/Bison, 16",8222,24293,,1,,,,ALLJVGSMAI6TI,1,B094YT4XD2,195907086032,195907086032,B0CLDBYVSX,New Balance,,GB195907086032,https://www.google.com/search?q=195907086032+New+Balance+Men%27s+FuelCell+4040+V6+Metal+Baseball+Shoe%2C+Black%2FPebble%2FBison%2C+16&tbm=shop,Y,https://www.amazon.com/dp/B094YT4XD2?psc=1,"https://www.google.com/shopping/product/17606561091381797586/offers?q=195907086032&prds=cid:17606561091381797586,cond:1",Baseball Savings.com,69.98,118.97,132.26,132.26,Y,V,9140405781445374840
"New Balance 9060 Unisex Sneakers, Gray, Tan, Off White, 12.5 US Women/11 US Men",24147,267885,221,2,213.05,,,AF4GO035LHAA2,3,B0BSR11P9N,196307583145,196307583145,B0C6YB46KZ,New Balance,,GB196307583145,https://www.google.com/search?q=196307583145+New+Balance+9060+Unisex+Sneakers%2C+Gray%2C+Tan%2C+Off+White%2C+12.5+US+Women%2F11+US+Men&tbm=shop,Y,https://www.amazon.com/dp/B0BSR11P9N?psc=1,"https://www.google.com/shopping/product/5501101029853051731/offers?q=196307583145&prds=cid:5501101029853051731,cond:1",New Balance,94.99,161.48,179.53,220,Y,V,9021363789361973746
"New Balance Boys’ Sweatpants – 4 Pack Active Tricot Jogger Sweatpants – Performance Track Pants with Pockets for Boys (4-20), Size 18-20, Raincloud",23407,21680,52.99,193,52.99,,,-,0,B09TQ3SG7S,195187650909,195187650909,B08ZJQSSST,New Balance,yes,GB195187650909,https://www.google.com/search?q=195187650909+New+Balance+Boys%E2%80%99+Sweatpants+%E2%80%93+4+Pack+Active+Tricot+Jogger+Sweatpants+%E2%80%93+Performance+Track+Pants+with+Pockets+for+Boys+%284-20%29%2C+Size+18-20%2C+Raincloud&tbm=shop,Y,https://www.amazon.com/dp/B09TQ3SG7S?psc=1,"https://www.google.com/shopping/product/17649292952666534843/offers?q=195187650909&prds=cid:17649292952666534843,cond:1",Shop Premium Outlets,27.95,47.52,52.83,51.99,Y,V,8986556141135050731
"New Balance Women's Made in US 990 V5 Sneaker, Grey/Castlerock, 8.5 X-Wide",55933,52087,,,308.81,,,A2B9B9OGF1VYTL,1,B0791TW172,192662149750,192662149750,B08986L1PD,New Balance,,GB192662149750,https://www.google.com/search?q=192662149750+New+Balance+Women%27s+Made+in+US+990+V5+Sneaker%2C+Grey%2FCastlerock%2C+8.5+X-Wide&tbm=shop,Y,https://www.amazon.com/dp/B0791TW172?psc=1,"https://www.google.com/shopping/product/5086354088481431666/offers?q=192662149750&prds=cid:5086354088481431666,cond:1",SHOES-n-FEET,135,229.5,255.15,307.81,Y,V,8871806739816694954
"New Balance Men's Fresh Foam Roav V1 Running Shoe, Black/White, 8.5 Wide",1151,1817,,,,,,-,,B0BHJNJN68,196652951231,196652951231,B096PR9JCT,New Balance,yes,GB196652951231,https://www.google.com/search?q=196652951231+New+Balance+Men%27s+Fresh+Foam+Roav+V1+Running+Shoe%2C+Black%2FWhite%2C+8.5+Wide&tbm=shop,Y,https://www.amazon.com/dp/B0BHJNJN68?psc=1,"https://www.google.com/shopping/product/7895485527199960712/offers?q=196652951231&prds=cid:7895485527199960712,cond:1",Baseball Express,79.95,135.91,151.11,151.11,Y,V,8766510104986122679
"New Balance Men's Fresh Foam X 860 V12 Running Shoe, Sulphur Yellow/Ocean Grey, 12.5 W",35690,49755,,,199.1,,,A2B9B9OGF1VYTL,1,B096WKCR8S,195481439163,195481439163,B0B9BRT7LY,New Balance,,GB195481439163,https://www.google.com/search?q=195481439163+New+Balance+Men%27s+Fresh+Foam+X+860+V12+Running+Shoe%2C+Sulphur+Yellow%2FOcean+Grey%2C+12.5+W&tbm=shop,Y,https://www.amazon.com/dp/B096WKCR8S?psc=1,"https://www.google.com/shopping/product/35403919932908676/offers?q=195481439163&prds=cid:35403919932908676,cond:1",Running Room USA,110,187,207.9,198.1,Y,V,874285647914783867
"New Balance Girls Fresh Foam Roav V1 Bungee Running Shoe, Capricorn/Electric Indigo/White, 7 Toddler",28124,30230,,,,,,-,,B0BJ7PXJS1,196941209692,196941209692,B0BZZH6LQC,New Balance,,GB196941209692,https://www.google.com/search?q=196941209692+New+Balance+Girls+Fresh+Foam+Roav+V1+Bungee+Running+Shoe%2C+Capricorn%2FElectric+Indigo%2FWhite%2C+7+Toddler&tbm=shop,Y,https://www.amazon.com/dp/B0BJ7PXJS1?psc=1,"https://www.google.com/shopping/product/16813396778025954437/offers?q=196941209692&prds=cid:16813396778025954437,cond:1",New Balance,49.94,84.9,94.39,94.39,Y,V,8648262339558414470
"New Balance Men's 515 V3 Sneaker, Black/Shadow Grey/Nightwatch Green, 7.5",2182,2553,,,,,,-,,B0BHJQMWRY,196941325552,196941325552,B08YXQNDVB,New Balance,yes,GB196941325552,https://www.google.com/search?q=196941325552+New+Balance+Men%27s+515+V3+Sneaker%2C+Black%2FShadow+Grey%2FNightwatch+Green%2C+7.5&tbm=shop,Y,https://www.amazon.com/dp/B0BHJQMWRY?psc=1,"https://www.google.com/shopping/product/4666068874845214697/offers?q=196941325552&prds=cid:4666068874845214697,cond:1",farfetch.com,110,187,207.9,207.9,Y,V,8583062920214251152
"New Balance Men's Fresh Foam X 880 V12 Running Shoe, Black/Lead/Light Aluminum, 12 Wide",92483,400158,,,,,,-,,B09RSKPSHB,195907631508,195907631508,B0BWSRDNDY,New Balance,,GB195907631508,https://www.google.com/search?q=195907631508+New+Balance+Men%27s+Fresh+Foam+X+880+V12+Running+Shoe%2C+Black%2FLead%2FLight+Aluminum%2C+12+Wide&tbm=shop,Y,https://www.amazon.com/dp/B09RSKPSHB?psc=1,"https://www.google.com/shopping/product/5449204237817182759/offers?q=195907631508&prds=cid:5449204237817182759,cond:1",Confluence Running,94.88,161.3,179.32,179.32,Y,V,847949761708294286
