Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Black_list,PID
"Nike Women's Air Vapormax 2020 FK Sneaker, Violet Ash Light Arctic Pink Violet Bianco, 7.5",100871.0,175391.0,277.98,1.0,277.98,$341.00,$295.74,"A16LEHJSP4FX0P, A2O4XN2BBGRDQ",2.0,B08L6BT2WQ,194498953235,194498953235,B0873SYGVF,Nike,no,GB194498953235,https://www.google.com/search?q=194498953235+Nike+Women%27s+Air+Vapormax+2020+FK+Sneaker%2C+Violet+Ash+Light+Arctic+Pink+Violet+Bianco%2C+7.5&tbm=shop,N,https://www.amazon.com/dp/B08L6BT2WQ?psc=1,"https://www.google.com/shopping/product/2169298014522644344/offers?q=194498953235&prds=cid:2169298014522644344,cond:1",Not Found,,,,,N,V,2169298014522644344
Nike Little Kid's Court Borough Low 2 Black/University Red-White (BQ5451 007) - 2.5,179103.0,250240.0,82.72,2.0,74.77,$109.00,$82.72,AF4GO035LHAA2,5.0,B087R18SVJ,194495037358,194495037358,B086Z1SDVV,Nike,no,GB194495037358,https://www.google.com/search?q=194495037358+Nike+Little+Kid%27s+Court+Borough+Low+2+Black%2FUniversity+Red-White+%28BQ5451+007%29+-+2.5&tbm=shop,N,https://www.amazon.com/dp/B087R18SVJ?psc=1,"https://www.google.com/shopping/product/2167933344097858270/offers?q=194495037358&prds=cid:2167933344097858270,cond:1",Not Found,,,,,N,V,2167933344097858270
"Nike Women's Air Jordan 1 Low UNC Basketball Shoe, Summitwhite/Limelight, 11",19130.0,16745.0,153.0,1.0,153.0,$250.00,$152.94,AFW7WNX55N5K4,4.0,B0923W1K7B,194956637387,194956637387,B08HSGKM3Q,Nike,no,GB194956637387,https://www.google.com/search?q=194956637387+Nike+Women%27s+Air+Jordan+1+Low+UNC+Basketball+Shoe%2C+Summitwhite%2FLimelight%2C+11&tbm=shop,Y,https://www.amazon.com/dp/B0923W1K7B?psc=1,"https://www.google.com/shopping/product/216687356447407486/offers?q=194956637387&prds=cid:216687356447407486,cond:1",Not Found,,,,,N,V,216687356447407486
"Nike Men's Running Shoes, Black Black Black Anthracite 004, US 8.5",284581.0,282701.0,166.36,1.0,166.36,$179.00,$163.49,A29XZNZIP31KHB,1.0,B07H8KBQQG,192499679949,192499679949,B07SKCBH4H,Nike,no,GB192499679949,https://www.google.com/search?q=192499679949+Nike+Men%27s+Running+Shoes%2C+Black+Black+Black+Anthracite+004%2C+US+8.5&tbm=shop,N,https://www.amazon.com/dp/B07H8KBQQG?psc=1,"https://www.google.com/shopping/product/2166009870773589233/offers?q=192499679949&prds=cid:2166009870773589233,cond:1",Not Found,,,,,N,V,2166009870773589233
Jordan Mens 1 Mid 554724 170 University Gold - Size 10,12717.0,13407.0,206.0,7.0,206.0,$229.95,$205.99,AFW7WNX55N5K4,3.0,B08VNL3CT4,194501095587,194501095587,B0CPTHD1FB,Nike,no,GB194501095587,https://www.google.com/search?q=194501095587+Jordan+Mens+1+Mid+554724+170+University+Gold+-+Size+10&tbm=shop,Y,https://www.amazon.com/dp/B08VNL3CT4?psc=1,"https://www.google.com/shopping/product/2159064239421955689/offers?q=194501095587&prds=cid:2159064239421955689,cond:1",eBay,154.94,263.4,292.84,,N,V,2159064239421955689
Nike Boy's Lebron Witness 7 (Big Kid) Light Orewood Brown/Cobalt Bliss/Action Grape 4.5 Big Kid M,382209.0,394570.0,112.24,5.0,103.25,$182.45,$135.94,A1ME9LZAEMLUMT,4.0,B0C3MDKC55,196604997096,196604997096,B0CPXLK6G6,Nike,no,GB196604997096,https://www.google.com/search?q=196604997096+Nike+Boy%27s+Lebron+Witness+7+%28Big+Kid%29+Light+Orewood+Brown%2FCobalt+Bliss%2FAction+Grape+4.5+Big+Kid+M&tbm=shop,Y,https://www.amazon.com/dp/B0C3MDKC55?psc=1,"https://www.google.com/shopping/product/2156799382184777123/offers?q=196604997096&prds=cid:2156799382184777123,cond:1",Shoe Carnival,82.75,140.67,156.4,,N,V,2156799382184777123
"Nike Zoom Superfly Elite 2 Track & Field Sprinting Spikes (CD4382-400, Racer Blue/Lime Blast/Safety Orange/White) Size 6",1170211.0,1170211.0,255.95,5.0,246.96,$274.01,$258.62,A1ME9LZAEMLUMT,2.0,B0CWVP85ZB,196969464448,196969464448,B0CWVV6XXL,Nike,no,GB196969464448,https://www.google.com/search?q=196969464448+Nike+Zoom+Superfly+Elite+2+Track+%26+Field+Sprinting+Spikes+%28CD4382-400%2C+Racer+Blue%2FLime+Blast%2FSafety+Orange%2FWhite%29+Size+6&tbm=shop,Y,https://www.amazon.com/dp/B0CWVP85ZB?psc=1,"https://www.google.com/shopping/product/2155572613803956996/offers?q=196969464448&prds=cid:2155572613803956996,cond:1",Dick Pond Athletics,170.0,289.0,321.3,,N,V,2155572613803956996
"Nike Air Force 1 Shadow Women's Shoes (FQ8885-100, White/Fireberry/Light Lemon) Size 11",62957.0,1008812.0,127.6,2.0,117.86,$187.58,$141.48,"ASINA8I5RMMEK, A3EUP28PDPRXNL, AAGYSXRML4LKF, AC84Y246HJ6PO, A14S6XXWNZ07KP",10.0,B0CSJ41PQN,196969726270,196969726270,B0CQ3W9CMX,Nike,no,GB196969726270,https://www.google.com/search?q=196969726270+Nike+Air+Force+1+Shadow+Women%27s+Shoes+%28FQ8885-100%2C+White%2FFireberry%2FLight+Lemon%29+Size+11&tbm=shop,Y,https://www.amazon.com/dp/B0CSJ41PQN?psc=1,"https://www.google.com/shopping/product/215385170960464954/offers?q=196969726270&prds=cid:215385170960464954,cond:1",eBay,113.95,193.72,215.37,,N,V,215385170960464954
Nike CU8034-434 NK PTCH Train - SP21 Recreational Soccer Ball Unisex-Adult lt Blue Fury/Black/(White) 4,253648.0,237533.0,34.98,1.0,21.75,$56.78,$34.02,A3A4894E5VTCUC,3.0,B08QVRQ6J3,194500856639,194500856639,B07B317CF7,Nike,no,GB194500856639,https://www.google.com/search?q=194500856639+Nike+CU8034-434+NK+PTCH+Train+-+SP21+Recreational+Soccer+Ball+Unisex-Adult+lt+Blue+Fury%2FBlack%2F%28White%29+4&tbm=shop,Y,https://www.amazon.com/dp/B08QVRQ6J3?psc=1,"https://www.google.com/shopping/product/2152516448061521190/offers?q=194500856639&prds=cid:2152516448061521190,cond:1",Not Found,,,,,N,V,2152516448061521190
"Nike Womens React Escape RN 2 Running Trainers DJ9976 Sneakers Shoes (UK 4 US 6.5 EU 37.5, Phantom Light Iron ore 002)",108557.0,103213.0,129.99,1.0,129.99,$134.99,$129.99,A1RIIAX5ON26EB,1.0,B0B6FM5JQV,195868936445,195868936445,B0BR4YXD7C,Nike,no,GB195868936445,https://www.google.com/search?q=195868936445+Nike+Womens+React+Escape+RN+2+Running+Trainers+DJ9976+Sneakers+Shoes+%28UK+4+US+6.5+EU+37.5%2C+Phantom+Light+Iron+ore+002%29&tbm=shop,Y,https://www.amazon.com/dp/B0B6FM5JQV?psc=1,"https://www.google.com/shopping/product/2149086655693017985/offers?q=195868936445&prds=cid:2149086655693017985,cond:1",Not Found,,,,,N,V,2149086655693017985
