Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Custom_SKU,Google_Search_Link,Amazon_link,Match,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
New Balance mens 680 V7 Running Shoe 8.5 Aluminum Grey/Black/Marine Blue,6955,6081,72.93,2.0,57.98,$77.76 ,A2857RBU562CVM,1.0,B0BHKXLLVK,196652966310,196652966310,B0CLRSJN3V,New Balance,no,GB196652966310,https://www.google.com/search?q=196652966310+New+Balance+mens+680+V7+Running+Shoe+8.5+Aluminum+Grey%2FBlack%2FMarine+Blue&tbm=shop,https://www.amazon.com/dp/B0BHKXLLVK?psc=1,Y,"https://www.google.com/shopping/product/13131069955642830698/offers?q=196652966310&prds=cid:13131069955642830698,cond:1",Not Found,,,,,N
New Balance mens 680 V7 Running Shoe 14 Marine Blue/Night Sky/Hot Marigold,6914,6044,79.95,1.0,79.95,$73.33 ,A1LEM297LNF1FK,1.0,B0BHJPLZTL,196652965481,196652965481,B0CLRSJN3V,New Balance,no,GB196652965481,https://www.google.com/search?q=196652965481+New+Balance+mens+680+V7+Running+Shoe+14+Marine+Blue%2FNight+Sky%2FHot+Marigold&tbm=shop,https://www.amazon.com/dp/B0BHJPLZTL?psc=1,Y,"https://www.google.com/shopping/product/14844102301592062080/offers?q=196652965481&prds=cid:14844102301592062080,cond:1",Not Found,,,,,N
New Balance mens 680 V7 Running Shoe 12 X-Wide Light Cyclone/Ocean Grey,6925,6091,,,77.46,$89.90 ,A2857RBU562CVM,1.0,B08LZYKX32,195481296940,195481296940,B0CLRSJN3V,New Balance,yes,GB195481296940,https://www.google.com/search?q=195481296940+New+Balance+mens+680+V7+Running+Shoe+12+X-Wide+Light+Cyclone%2FOcean+Grey&tbm=shop,https://www.amazon.com/dp/B08LZYKX32?psc=1,Y,"https://www.google.com/shopping/product/16623831589417786139/offers?q=195481296940&prds=cid:16623831589417786139,cond:1",Rogans Shoes,74.0,125.8,139.86,,N
New Balance mens 680 V7 Running Shoe 10 White/Cosmic Pineapple,6854,6049,,,88.59,$90.04 ,AF4GO035LHAA2,1.0,B09YB8R9CM,196432859108,196432859108,B0CLRSJN3V,New Balance,no,GB196432859108,https://www.google.com/search?q=196432859108+New+Balance+mens+680+V7+Running+Shoe+10+White%2FCosmic+Pineapple&tbm=shop,https://www.amazon.com/dp/B09YB8R9CM?psc=1,Y,"https://www.google.com/shopping/product/5061575304739148628/offers?q=196432859108&prds=cid:5061575304739148628,cond:1",Not Found,,,,,N
New Balance mens 680 V7 Running Shoe 12 X-Wide Black/Vibrant Orange/Vibrant Apricot,6828,6077,,,99.99,$99.96 ,AAWDV4NIJIXTE,1.0,B093QJK8BX,195907662243,195907662243,B0CLRSJN3V,New Balance,yes,GB195907662243,https://www.google.com/search?q=195907662243+New+Balance+mens+680+V7+Running+Shoe+12+X-Wide+Black%2FVibrant+Orange%2FVibrant+Apricot&tbm=shop,https://www.amazon.com/dp/B093QJK8BX?psc=1,Y,"https://www.google.com/shopping/product/17499647842183594902/offers?q=195907662243&prds=cid:17499647842183594902,cond:1",Rack Room Shoes,79.97,135.95,151.14,,N
"New Balance Men's Fresh Foam X Hierro V7 Running Shoe, Purple, 7.5 Wide",5401,10480,139.99,1.0,139.99,$139.99 ,A3SM1R0UB3MXAD,1.0,B09XK7GZDT,195907623060,195907623060,B0CLDCBKLP,New Balance,no,GB195907623060,https://www.google.com/search?q=195907623060+New+Balance+Men%27s+Fresh+Foam+X+Hierro+V7+Running+Shoe%2C+Purple%2C+7.5+Wide&tbm=shop,https://www.amazon.com/dp/B09XK7GZDT?psc=1,Y,"https://www.google.com/shopping/product/7302945072399079113/offers?q=195907623060&prds=cid:7302945072399079113,cond:1",Zappos.com,137.87,234.38,260.57,,N
"New Balance Men's Fresh Foam X Hierro V7 Running Shoe, Purple, 9.5",5381,10403,124.99,1.0,124.99,$132.51 ,AXR5SUQ8BBNY6,2.0,B09XK6R5RB,195907622926,195907622926,B0CLDCBKLP,New Balance,no,GB195907622926,https://www.google.com/search?q=195907622926+New+Balance+Men%27s+Fresh+Foam+X+Hierro+V7+Running+Shoe%2C+Purple%2C+9.5&tbm=shop,https://www.amazon.com/dp/B09XK6R5RB?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Boy's 4040 V7 Rubber-Molded Baseball Shoe, Black/Optic White, 6 Wide Big Kid",14008,40995,49.99,21.0,49.99,$49.95 ,-,0.0,B0BJ7LTJFM,196941413822,196941413822,B0BJ83MLFN,New Balance,yes,GB196941413822,https://www.google.com/search?q=196941413822+New+Balance+Boy%27s+4040+V7+Rubber-Molded+Baseball+Shoe%2C+Black%2FOptic+White%2C+6+Wide+Big+Kid&tbm=shop,https://www.amazon.com/dp/B0BJ7LTJFM?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Men's 520 V8 Running Shoe, Marine Blue/Night Sky/Black, 9.5",6671,9929,,,89.99,$82.29 ,A2ZI5FXEJHBJ3H,2.0,B0BHJQ4GKZ,196941138725,196941138725,B0C8BW5WNS,New Balance,yes,GB196941138725,https://www.google.com/search?q=196941138725+New+Balance+Men%27s+520+V8+Running+Shoe%2C+Marine+Blue%2FNight+Sky%2FBlack%2C+9.5&tbm=shop,https://www.amazon.com/dp/B0BHJQ4GKZ?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Men's Fresh Foam X Hierro V7 Running Shoe, Black/Black, 10.5",5431,10458,,,236.62,$234.72 ,A2B9B9OGF1VYTL,1.0,B096NHFBH2,195907940341,195907940341,B0CLDCBKLP,New Balance,yes,GB195907940341,https://www.google.com/search?q=195907940341+New+Balance+Men%27s+Fresh+Foam+X+Hierro+V7+Running+Shoe%2C+Black%2FBlack%2C+10.5&tbm=shop,https://www.amazon.com/dp/B096NHFBH2?psc=1,N,Not Found,Not Found,,,,,N
