Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box 🚚: Current,Buy Box 🚚: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Buy Box: Current,Buy Box: Stock,Match,Custom_SKU,Google_Search_Link,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
Tory Burch TY7192U 194973 55MM New Honey Tortoise/Dark Brown Irregular Sunglasses for Women + BUNDLE With Deisgner iWear Complimentary Eyewear Kit,2663024,2663024,,,145.0,$145.00 ,,-,0.0,B0CV84FQBS,840270359558.0,840270359558.0,B0CV83QW2M,Tory Burch,yes,145.0,,N,GB840270359558.0,https://www.google.com/search?q=840270359558.0+Tory+Burch+TY7192U+194973+55MM+New+Honey+Tortoise%2FDark+Brown+Irregular+Sunglasses+for+Women+%2B+BUNDLE+With+Deisgner+iWear+Complimentary+Eyewear+Kit&tbm=shop,https://www.amazon.com/dp/B0CV84FQBS?psc=1,"https://www.google.com/shopping/product/2583785090890042892/offers?q=840270359558&prds=cid:2583785090890042892,cond:1",EZContacts.com,104.28,177.28,197.09,,N
Tory Burch TY7192U 196187 55MM Black/Ivory/Dark Grey Solid Irregular Sunglasses for Women + BUNDLE With Deisgner iWear Complimentary Eyewear Kit,2678827,2678827,,,145.0,$145.00 ,,-,0.0,B0CV8362PG,840270359572.0,840270359572.0,B0CV83QW2M,Tory Burch,yes,145.0,,N,GB840270359572.0,https://www.google.com/search?q=840270359572.0+Tory+Burch+TY7192U+196187+55MM+Black%2FIvory%2FDark+Grey+Solid+Irregular+Sunglasses+for+Women+%2B+BUNDLE+With+Deisgner+iWear+Complimentary+Eyewear+Kit&tbm=shop,https://www.amazon.com/dp/B0CV8362PG?psc=1,"https://www.google.com/shopping/product/11357205346202632838/offers?q=840270359572&prds=cid:11357205346202632838,cond:1",Designer Optics - Authorized Dealer,99.91,169.85,188.83,,N
"Tory Burch Women's Kira Sport Sandals, Shell Pink, 9.5 Medium US",760417,760417,,,278.0,$278.00 ,,-,0.0,B0C7KH895D,196133964101.0,196133964101.0,B0C7KGNCZW,Tory Burch,yes,278.0,,N,GB196133964101.0,https://www.google.com/search?q=196133964101.0+Tory+Burch+Women%27s+Kira+Sport+Sandals%2C+Shell+Pink%2C+9.5+Medium+US&tbm=shop,https://www.amazon.com/dp/B0C7KH895D?psc=1,"https://www.google.com/shopping/product/12692978840034382085/offers?q=196133964101&prds=cid:12692978840034382085,cond:1",Bloomingdale's,278.0,472.6,525.42,,N
"Tory Burch Women's Kira Sport Sandals, Shell Pink, 8 Medium US",615389,615389,,,278.0,$278.00 ,,-,0.0,B0C7KDYDKP,196133964071.0,196133964071.0,B0C7KGNCZW,Tory Burch,yes,278.0,,N,GB196133964071.0,https://www.google.com/search?q=196133964071.0+Tory+Burch+Women%27s+Kira+Sport+Sandals%2C+Shell+Pink%2C+8+Medium+US&tbm=shop,https://www.amazon.com/dp/B0C7KDYDKP?psc=1,"https://www.google.com/shopping/product/12692978840034382085/offers?q=196133964071&prds=cid:12692978840034382085,cond:1",Bloomingdale's,278.0,472.6,525.42,,N
"Tory Burch Women's Kira Sport Sandals, Shell Pink, 7 Medium US",659294,659294,,,278.0,$278.00 ,,-,0.0,B0C7KHDJY3,196133964057.0,196133964057.0,B0C7KGNCZW,Tory Burch,no,278.0,,N,GB196133964057.0,https://www.google.com/search?q=196133964057.0+Tory+Burch+Women%27s+Kira+Sport+Sandals%2C+Shell+Pink%2C+7+Medium+US&tbm=shop,https://www.amazon.com/dp/B0C7KHDJY3?psc=1,"https://www.google.com/shopping/product/18192234591633294165/offers?q=196133964057&prds=cid:18192234591633294165,cond:1",Bloomingdale's,278.0,472.6,525.42,,N
"Tory Burch Women's Ballet Loafers, New Cream, Off White, 8.5 Medium US",611126,546871,,,298.0,$298.00 ,,-,0.0,B09HRDD5MW,196133017876.0,196133017876.0,B09HRCL3NQ,Tory Burch,yes,298.0,17.0,N,GB196133017876.0,https://www.google.com/search?q=196133017876.0+Tory+Burch+Women%27s+Ballet+Loafers%2C+New+Cream%2C+Off+White%2C+8.5+Medium+US&tbm=shop,https://www.amazon.com/dp/B09HRDD5MW?psc=1,Not Found,Not Found,,,,,N
"Tory Burch Women's Ballet Loafers, New Cream, Off White, 6.5 Medium US",688125,624730,,,298.0,$298.00 ,,-,0.0,B09HRCFT1G,196133017838.0,196133017838.0,B09HRCL3NQ,Tory Burch,yes,298.0,11.0,N,GB196133017838.0,https://www.google.com/search?q=196133017838.0+Tory+Burch+Women%27s+Ballet+Loafers%2C+New+Cream%2C+Off+White%2C+6.5+Medium+US&tbm=shop,https://www.amazon.com/dp/B09HRCFT1G?psc=1,"https://www.google.com/shopping/product/17480117892260895314/offers?q=196133017838&prds=cid:17480117892260895314,cond:1",Not Found,,,,,N
Tory Burch TY7169U 170987 52MM Black/Solid Grey Rectangle Sunglasses for Women + BUNDLE With Designer iWear Eyewear Kit,932364,732081,,,149.0,$149.00 ,,-,0.0,B0BF285LHJ,840270327236.0,840270327236.0,B0BFBML1TQ,Tory Burch,yes,149.0,24.0,N,GB840270327236.0,https://www.google.com/search?q=840270327236.0+Tory+Burch+TY7169U+170987+52MM+Black%2FSolid+Grey+Rectangle+Sunglasses+for+Women+%2B+BUNDLE+With+Designer+iWear+Eyewear+Kit&tbm=shop,https://www.amazon.com/dp/B0BF285LHJ?psc=1,"https://www.google.com/shopping/product/7863770103641944840/offers?q=840270327236&prds=cid:7863770103641944840,cond:1",Not Found,,,,,N
"Tory Burch Women's Good Luck Chain Pendant, Tory Gold, One Size",537262,514598,,,128.0,$128.00 ,,-,0.0,B0CQMRL8DM,196133976371.0,196133976371.0,B0CQMFCTV6,Tory Burch,yes,128.0,2.0,N,GB196133976371.0,https://www.google.com/search?q=196133976371.0+Tory+Burch+Women%27s+Good+Luck+Chain+Pendant%2C+Tory+Gold%2C+One+Size&tbm=shop,https://www.amazon.com/dp/B0CQMRL8DM?psc=1,Not Found,Not Found,,,,,N
"Tory Burch Women's Studded Jelly thong Sandals, New Ivory, Off White, 11 Medium US",821791,980184,,,191.58,$191.59 ,,-,0.0,B08NJRRXCF,192485694666.0,192485694666.0,B08YNXFB5L,Tory Burch,no,,,N,GB192485694666.0,https://www.google.com/search?q=192485694666.0+Tory+Burch+Women%27s+Studded+Jelly+thong+Sandals%2C+New+Ivory%2C+Off+White%2C+11+Medium+US&tbm=shop,https://www.amazon.com/dp/B08NJRRXCF?psc=1,"https://www.google.com/shopping/product/18122675404929697910/offers?q=192485694666&prds=cid:18122675404929697910,cond:1",BHFO,93.99,159.78,177.64,190.58,Y
