Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box 🚚: Stock,New: Current,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Custom_SKU,Google_Search_Link,Amazon_link,Match,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"New Balance Men's Fresh Foam X Lav V2 Hard Court Tennis Shoe, White/Laser Blue, 8.5",76357,87952,,,,$ 228.51,-,,B08M2GMZ1M,0195173876641,195173876641,B0BMGMWHRT,New Balance,yes,GB195173876641,https://www.google.com/search?q=195173876641+New+Balance+Men%27s+Fresh+Foam+X+Lav+V2+Hard+Court+Tennis+Shoe%2C+White%2FLaser+Blue%2C+8.5&tbm=shop,https://www.amazon.com/dp/B08M2GMZ1M?psc=1,Y,"https://www.google.com/shopping/product/16995999061944001011/offers?q=195173876641&prds=cid:16995999061944001011,cond:1",6pm.com,159.95,271.91,302.31,302.31,Y
"New Balance Men's, Dynasoft Drft V2 Running Shoe Black White",102590,107204,54.99,67.0,54.99,$ 50.05,APMVYK5AMZ4PX,1.0,B093QH7LLM,0195907537299,195907537299,B09YB1PRZN,New Balance,no,GB195907537299,https://www.google.com/search?q=195907537299+New+Balance+Men%27s%2C+Dynasoft+Drft+V2+Running+Shoe+Black+White&tbm=shop,https://www.amazon.com/dp/B093QH7LLM?psc=1,Y,"https://www.google.com/shopping/product/9937301490531834651/offers?q=195907537299&prds=cid:9937301490531834651,cond:1",Not Found,,,,,N
"New Balance Men's Fresh Foam X 1080 Unlaced V1 Running Shoe, Black/White, 10.5",116247,108935,,,,$ 203.62,-,,B096N77RZY,0196071069470,196071069470,B0CVTTYB7K,New Balance,no,GB196071069470,https://www.google.com/search?q=196071069470+New+Balance+Men%27s+Fresh+Foam+X+1080+Unlaced+V1+Running+Shoe%2C+Black%2FWhite%2C+10.5&tbm=shop,https://www.amazon.com/dp/B096N77RZY?psc=1,Y,"https://www.google.com/shopping/product/9360639889663814662/offers?q=196071069470&prds=cid:9360639889663814662,cond:1",Holabird Sports,164.95,280.41,311.76,311.76,Y
"New Balance Boy's 4040 V6 Molded Baseball Shoe, Black/White, 5.5 Big Kid",114245,177943,,,52.51,$ 56.70,A31AXZ2ONSA7MG,3.0,B08PCG24X8,0195481163792,195481163792,B0CTN13T3T,New Balance,no,GB195481163792,https://www.google.com/search?q=195481163792+New+Balance+Boy%27s+4040+V6+Molded+Baseball+Shoe%2C+Black%2FWhite%2C+5.5+Big+Kid&tbm=shop,https://www.amazon.com/dp/B08PCG24X8?psc=1,Y,"https://www.google.com/shopping/product/5753555046481455787/offers?q=195481163792&prds=cid:5753555046481455787,cond:1",Hibbett Sports,34.98,59.47,66.11,,N
"New Balance Boy's 4040 V6 Molded Baseball Shoe, Black/White, 4 Big Kid",114639,180179,,,52.51,$ 56.70,A31AXZ2ONSA7MG,3.0,B08PCCC1QH,0195481163761,195481163761,B0CTN13T3T,New Balance,no,GB195481163761,https://www.google.com/search?q=195481163761+New+Balance+Boy%27s+4040+V6+Molded+Baseball+Shoe%2C+Black%2FWhite%2C+4+Big+Kid&tbm=shop,https://www.amazon.com/dp/B08PCCC1QH?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Boy's 4040 V6 Molded Baseball Shoe, White/Black, 5.5 Big Kid",115824,174232,34.97,17.0,29.98,$ 44.93,ALLJVGSMAI6TI,1.0,B08PCDLK6C,0195481666170,195481666170,B0CTN13T3T,New Balance,no,GB195481666170,https://www.google.com/search?q=195481666170+New+Balance+Boy%27s+4040+V6+Molded+Baseball+Shoe%2C+White%2FBlack%2C+5.5+Big+Kid&tbm=shop,https://www.amazon.com/dp/B08PCDLK6C?psc=1,Y,"https://www.google.com/shopping/product/952232761554084338/offers?q=195481666170&prds=cid:952232761554084338,cond:1",Not Found,,,,,N
"New Balance Boy's 4040 V6 Molded Baseball Shoe, Royal/White, 10.5 Little Kid",118595,183322,34.97,7.0,29.98,$ 44.97,-,1.0,B08PCFJS4L,0195481162191,195481162191,B0CTN13T3T,New Balance,no,GB195481162191,https://www.google.com/search?q=195481162191+New+Balance+Boy%27s+4040+V6+Molded+Baseball+Shoe%2C+Royal%2FWhite%2C+10.5+Little+Kid&tbm=shop,https://www.amazon.com/dp/B08PCFJS4L?psc=1,Y,"https://www.google.com/shopping/product/166340023800353215/offers?q=195481162191&prds=cid:166340023800353215,cond:1",Hit A Double,54.94,93.4,103.84,,N
"New Balance Men's Fresh Foam 880 V12 Running Shoe, Ocean Grey/Vibrant Spring, 4 Medium",89196,84392,,,,,-,,B09RY3ZXSQ,0196071458694,196071458694,B0BWSRDNDY,New Balance,no,GB196071458694,https://www.google.com/search?q=196071458694+New+Balance+Men%27s+Fresh+Foam+880+V12+Running+Shoe%2C+Ocean+Grey%2FVibrant+Spring%2C+4+Medium&tbm=shop,https://www.amazon.com/dp/B09RY3ZXSQ?psc=1,Y,"https://www.google.com/shopping/product/8588045165194421986/offers?q=196071458694&prds=cid:8588045165194421986,cond:1",Nordstrom,65.24,110.91,123.3,123.3,Y
"New Balance Men's 460 V3 Running Shoe, Grey/Black, 11.5",93595,94701,,,51.52,$ 74.10,A1WTOJSJJF8L89,1.0,B08PCCJMC7,0195481298364,195481298364,B08PD6YL7J,New Balance,yes,GB195481298364,https://www.google.com/search?q=195481298364+New+Balance+Men%27s+460+V3+Running+Shoe%2C+Grey%2FBlack%2C+11.5&tbm=shop,https://www.amazon.com/dp/B08PCCJMC7?psc=1,Y,"https://www.google.com/shopping/product/3607544048593321875/offers?q=195481298364&prds=cid:3607544048593321875,cond:1",Kohl's,64.99,110.48,122.83,,N
"New Balance Men's 940 V4 Running Shoe, Black/Magnet, 10 Wide",103406,92514,,,159.99,$ 159.99,A2ZNV5VNDV3EQT,1.0,B07RMZD4KJ,0193684994243,193684994243,B07RMJY55M,New Balance,yes,GB193684994243,https://www.google.com/search?q=193684994243+New+Balance+Men%27s+940+V4+Running+Shoe%2C+Black%2FMagnet%2C+10+Wide&tbm=shop,https://www.amazon.com/dp/B07RMZD4KJ?psc=1,Y,"https://www.google.com/shopping/product/11536251834583295938/offers?q=193684994243&prds=cid:11536251834583295938,cond:1",FrontRunners LA,150.0,255.0,283.5,,N
