Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"THE NORTH FACE Men's Box NSE Jogger, Almond Butter, Small",229797.0,182916.0,,,125.63,$125.63 ,$125.63 ,A20FLYA0IW2L9O,1.0,B0BZ8Y2L2F,0196573570146,196573570146,B099HC6XCG,THE NORTH FACE,yes,GB196573570146,https://www.google.com/search?q=196573570146+THE+NORTH+FACE+Men%27s+Box+NSE+Jogger%2C+Almond+Butter%2C+Small&tbm=shop,Y,https://www.amazon.com/dp/B0BZ8Y2L2F?psc=1,"https://www.google.com/shopping/product/14697067961875517654/offers?q=196573570146&prds=cid:14697067961875517654,cond:1",Tillys,69.99,118.98,132.28,124.63,Y
"THE NORTH FACE Men's Wander Jogger 2.0 (Standard and Big Size), Summit Navy, Small Short",572355.0,623153.0,70.0,122.0,70.0,$70.00 ,$69.98 ,A2XZ0K8FIJS0FD,1.0,B0CGJMTC7D,0196575638325,196575638325,B0CGJJZ9PJ,THE NORTH FACE,no,GB196575638325,https://www.google.com/search?q=196575638325+THE+NORTH+FACE+Men%27s+Wander+Jogger+2.0+%28Standard+and+Big+Size%29%2C+Summit+Navy%2C+Small+Short&tbm=shop,Y,https://www.amazon.com/dp/B0CGJMTC7D?psc=1,"https://www.google.com/shopping/product/12083570806918373033/offers?q=196575638325&prds=cid:12083570806918373033,cond:1",DICK'S Sporting Goods,70.0,119.0,132.3,,N
"THE NORTH FACE Men's Wander Jogger 2.0 (Standard and Big Size), TNF Black, X-Large Short",604329.0,651790.0,70.0,67.0,70.0,$70.00 ,$69.98 ,A2XZ0K8FIJS0FD,1.0,B0CGJXGL5C,0196575638288,196575638288,B0CGJJZ9PJ,THE NORTH FACE,no,GB196575638288,https://www.google.com/search?q=196575638288+THE+NORTH+FACE+Men%27s+Wander+Jogger+2.0+%28Standard+and+Big+Size%29%2C+TNF+Black%2C+X-Large+Short&tbm=shop,Y,https://www.amazon.com/dp/B0CGJXGL5C?psc=1,"https://www.google.com/shopping/product/12833525025742626193/offers?q=196575638288&prds=cid:12833525025742626193,cond:1",Climb On Equipment,104.95,178.41,198.36,,N
"THE NORTH FACE Men's Wander Jogger 2.0 (Standard and Big Size), Khaki Stone, Medium Regular",580845.0,568422.0,,,95.77,$114.60 ,$106.76 ,A3KPHGJZVOLD1G,1.0,B0CGRRCJ1D,0196575638134,196575638134,B0CGJJZ9PJ,THE NORTH FACE,no,GB196575638134,https://www.google.com/search?q=196575638134+THE+NORTH+FACE+Men%27s+Wander+Jogger+2.0+%28Standard+and+Big+Size%29%2C+Khaki+Stone%2C+Medium+Regular&tbm=shop,Y,https://www.amazon.com/dp/B0CGRRCJ1D?psc=1,"https://www.google.com/shopping/product/3961085597497986862/offers?q=196575638134&prds=cid:3961085597497986862,cond:1",DICK'S Sporting Goods,70.0,119.0,132.3,,N
"THE NORTH FACE Men's Elevation Short, TNF Black, Large Regular",440799.0,517756.0,44.95,1.0,44.95,$44.95 ,$43.18 ,A6Y8EA3VZD1DF,1.0,B0BH57X3BQ,0196012631933,196012631933,B0BRBRH9N6,THE NORTH FACE,no,GB196012631933,https://www.google.com/search?q=196012631933+THE+NORTH+FACE+Men%27s+Elevation+Short%2C+TNF+Black%2C+Large+Regular&tbm=shop,Y,https://www.amazon.com/dp/B0BH57X3BQ?psc=1,"https://www.google.com/shopping/product/2960412123681397486/offers?q=196012631933&prds=cid:2960412123681397486,cond:1",EMS,57.99,98.58,109.6,,N
"THE NORTH FACE Men's Gordon Lyons Full Zip Fleece Jacket, TNF Black Heather 2, Large",545822.0,523042.0,99.0,3.0,99.0,$167.96 ,$122.51 ,A1TZOL1TQLQL4N,1.0,B09B9R3N45,0195439187238,195439187238,B07TS924VV,THE NORTH FACE,no,GB195439187238,https://www.google.com/search?q=195439187238+THE+NORTH+FACE+Men%27s+Gordon+Lyons+Full+Zip+Fleece+Jacket%2C+TNF+Black+Heather+2%2C+Large&tbm=shop,Y,https://www.amazon.com/dp/B09B9R3N45?psc=1,"https://www.google.com/shopping/product/16177127815901784665/offers?q=195439187238&prds=cid:16177127815901784665,cond:1",BobsSportsChalet.com,89.2,151.64,168.59,,N
"THE NORTH FACE Girls' Suave Oso Fleece Full-Zip Hooded Jacket, Boysenberry, XX-Large",259482.0,222512.0,,,84.95,$155.81 ,$94.94 ,A2WU6JHR5PVKH1,1.0,B0C1CNDFYS,0196573260412,196573260412,B09BK7RVG1,THE NORTH FACE,no,GB196573260412,https://www.google.com/search?q=196573260412+THE+NORTH+FACE+Girls%27+Suave+Oso+Fleece+Full-Zip+Hooded+Jacket%2C+Boysenberry%2C+XX-Large&tbm=shop,Y,https://www.amazon.com/dp/B0C1CNDFYS?psc=1,"https://www.google.com/shopping/product/5500346976862394232/offers?q=196573260412&prds=cid:5500346976862394232,cond:1",Scheels,52.99,90.08,100.15,,N
"THE NORTH FACE Girls' Suave Oso Fleece Full-Zip Hooded Jacket, TNF Black 3, Large",257663.0,224522.0,,,84.95,$84.95 ,$94.94 ,A2WU6JHR5PVKH1,1.0,B0C1CK7H9V,0196573260252,196573260252,B09BK7RVG1,THE NORTH FACE,yes,GB196573260252,https://www.google.com/search?q=196573260252+THE+NORTH+FACE+Girls%27+Suave+Oso+Fleece+Full-Zip+Hooded+Jacket%2C+TNF+Black+3%2C+Large&tbm=shop,Y,https://www.amazon.com/dp/B0C1CK7H9V?psc=1,"https://www.google.com/shopping/product/4591911862103169311/offers?q=196573260252&prds=cid:4591911862103169311,cond:1",Versatile Boutique,57.4,97.58,108.49,,N
"THE NORTH FACE Osolita Full-Zip Jacket - Girls' Deep Lagoon, L",141617.0,143111.0,96.13,1.0,96.13,$128.60 ,$96.13 ,ANZYNJW9IIF9C,1.0,B097NRG2PD,0195438270634,195438270634,B074F1VXT9,THE NORTH FACE,no,GB195438270634,https://www.google.com/search?q=195438270634+THE+NORTH+FACE+Osolita+Full-Zip+Jacket+-+Girls%27+Deep+Lagoon%2C+L&tbm=shop,Y,https://www.amazon.com/dp/B097NRG2PD?psc=1,"https://www.google.com/shopping/product/12546861876089596975/offers?q=195438270634&prds=cid:12546861876089596975,cond:1",Ramsey Outdoor,59.95,101.92,113.31,,N
"THE NORTH FACE Girls' Osolita Fleece Full-Zip Jacket, Ice Blue, Medium",141468.0,143280.0,87.38,1.0,87.38,$107.09 ,$87.38 ,ANZYNJW9IIF9C,1.0,B097NQ59Y6,0195438270399,195438270399,B074F1VXT9,THE NORTH FACE,no,GB195438270399,https://www.google.com/search?q=195438270399+THE+NORTH+FACE+Girls%27+Osolita+Fleece+Full-Zip+Jacket%2C+Ice+Blue%2C+Medium&tbm=shop,Y,https://www.amazon.com/dp/B097NQ59Y6?psc=1,"https://www.google.com/shopping/product/13589493387549480220/offers?q=195438270399&prds=cid:13589493387549480220,cond:1",DICK'S Sporting Goods,67.97,115.55,128.46,,N
