Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Amazon_link,Match,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
New Balance Men's Fresh Foam X 880v13 Running Shoe Mercury Blue/Thirty Watt 9.5 X-Wide,11170,387718,,,,235.48 $,-,,B0CBHDBWWF,0196652778142,196652778142,B0CTWDCB5Y,New Balance,yes,GB196652778142,https://www.google.com/search?q=196652778142+New+Balance+Men%27s+Fresh+Foam+X+880v13+Running+Shoe+Mercury+Blue%2FThirty+Watt+9.5+X-Wide&tbm=shop,https://www.amazon.com/dp/B0CBHDBWWF?psc=1,Y,"https://www.google.com/shopping/product/17517580301874214690/offers?q=196652778142&prds=cid:17517580301874214690,cond:1",Luke's Locker,99.95,169.91,188.91,188.91,Y
New Balance Men's Fresh Foam X 880v13 Running Shoe Light Arctic Grey/Natural Indigo 11.5,27693,220976,139.95,20.0,139.95,139.95 $,Running Warehouse (95% A2I0YKRFYX9813),3.0,B0BHKXLP3P,0196307587815,196307587815,B0CTWDCB5Y,New Balance,no,GB196307587815,https://www.google.com/search?q=196307587815+New+Balance+Men%27s+Fresh+Foam+X+880v13+Running+Shoe+Light+Arctic+Grey%2FNatural+Indigo+11.5&tbm=shop,https://www.amazon.com/dp/B0BHKXLP3P?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Rave Run V2 Bungee Lace with Top Strap Shoe, Black/Blue Laguna/Light Raspberry, 6.5 Wide US Unisex Big_Kid",49712,49712,49.99,,49.99,,-,,B0C29P7SQL,0197375771465,197375771465,B0CJ4W76WM,New Balance,yes,GB197375771465,https://www.google.com/search?q=197375771465+New+Balance+Rave+Run+V2+Bungee+Lace+with+Top+Strap+Shoe%2C+Black%2FBlue+Laguna%2FLight+Raspberry%2C+6.5+Wide+US+Unisex+Big_Kid&tbm=shop,https://www.amazon.com/dp/B0C29P7SQL?psc=1,Y,"https://www.google.com/shopping/product/15787041135249077536/offers?q=197375771465&prds=cid:15787041135249077536,cond:1",Zappos.com,54.99,93.48,103.93,,N
"New Balance Rave Run V2 Bungee Lace with Top Strap Shoe, Team Royal/Blue Oasis/Bleached Lime Glo, 11.5 US Unisex Little Kid",494628,494628,49.99,,49.99,,-,,B0C29Q7TCH,0197375767215,197375767215,B0CJ4W76WM,New Balance,yes,GB197375767215,https://www.google.com/search?q=197375767215+New+Balance+Rave+Run+V2+Bungee+Lace+with+Top+Strap+Shoe%2C+Team+Royal%2FBlue+Oasis%2FBleached+Lime+Glo%2C+11.5+US+Unisex+Little+Kid&tbm=shop,https://www.amazon.com/dp/B0C29Q7TCH?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Kids Rave Run V2 Bungee Lace with Top Strap Shoe, Black/Blue Laguna/Light Raspberry, 9 X-Wide US Unisex Toddler",49169,49169,44.99,,44.99,,-,,B0C34G73N7,0197375778815,197375778815,B0CJ4W76WM,New Balance,yes,GB197375778815,https://www.google.com/search?q=197375778815+New+Balance+Kids+Rave+Run+V2+Bungee+Lace+with+Top+Strap+Shoe%2C+Black%2FBlue+Laguna%2FLight+Raspberry%2C+9+X-Wide+US+Unisex+Toddler&tbm=shop,https://www.amazon.com/dp/B0C34G73N7?psc=1,Y,"https://www.google.com/shopping/product/1978484914699618084/offers?q=197375778815&prds=cid:1978484914699618084,cond:1",New Balance,54.94,93.4,103.84,,N
"New Balance Rave Run V2 Bungee Lace with Top Strap Shoe, Team Royal/Blue Oasis/Bleached Lime Glo, 13 Wide US Unisex Little_Kid",102153,102153,49.99,,49.99,,-,,B0C297HHDL,0197375767451,197375767451,B0CJ4W76WM,New Balance,yes,GB197375767451,https://www.google.com/search?q=197375767451+New+Balance+Rave+Run+V2+Bungee+Lace+with+Top+Strap+Shoe%2C+Team+Royal%2FBlue+Oasis%2FBleached+Lime+Glo%2C+13+Wide+US+Unisex+Little_Kid&tbm=shop,https://www.amazon.com/dp/B0C297HHDL?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Kids Rave Run V2 Bungee Lace with Top Strap Shoe, Team Royal/Blue Oasis/Bleached Lime Glo, 7.5 Wide US Unisex Toddler",83332,83332,44.99,,44.99,,-,,B0C34DCYM1,0197375797205,197375797205,B0CJ4W76WM,New Balance,yes,GB197375797205,https://www.google.com/search?q=197375797205+New+Balance+Kids+Rave+Run+V2+Bungee+Lace+with+Top+Strap+Shoe%2C+Team+Royal%2FBlue+Oasis%2FBleached+Lime+Glo%2C+7.5+Wide+US+Unisex+Toddler&tbm=shop,https://www.amazon.com/dp/B0C34DCYM1?psc=1,Y,"https://www.google.com/shopping/product/17011219002803192960/offers?q=197375797205&prds=cid:17011219002803192960,cond:1",New Balance,54.94,93.4,103.84,,N
"New Balance Kids Rave Run V2 Bungee Lace with Top Strap Shoe, Team Royal/Blue Oasis/Bleached Lime Glo, 9.5 US Unisex Toddler",49712,49712,44.99,,44.99,,-,,B0C34TCQTW,0197375797090,197375797090,B0CJ4W76WM,New Balance,yes,GB197375797090,https://www.google.com/search?q=197375797090+New+Balance+Kids+Rave+Run+V2+Bungee+Lace+with+Top+Strap+Shoe%2C+Team+Royal%2FBlue+Oasis%2FBleached+Lime+Glo%2C+9.5+US+Unisex+Toddler&tbm=shop,https://www.amazon.com/dp/B0C34TCQTW?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Kids Rave Run V2 Bungee Lace with Top Strap Shoe, Team Royal/Blue Oasis/Bleached Lime Glo, 10 US Unisex Toddler",57392,57392,44.99,,44.99,,-,,B0C34DXFG1,0197375797106,197375797106,B0CJ4W76WM,New Balance,yes,GB197375797106,https://www.google.com/search?q=197375797106+New+Balance+Kids+Rave+Run+V2+Bungee+Lace+with+Top+Strap+Shoe%2C+Team+Royal%2FBlue+Oasis%2FBleached+Lime+Glo%2C+10+US+Unisex+Toddler&tbm=shop,https://www.amazon.com/dp/B0C34DXFG1?psc=1,Y,"https://www.google.com/shopping/product/12344298556337960484/offers?q=197375797106&prds=cid:12344298556337960484,cond:1",Zappos.com,64.99,110.48,122.83,,N
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 11.5 X-Wide",25899,22250,,,264.99,265.17 $,minimalizo® (91% AZPPRMV8HVKZ8),2.0,B0797D355T,0192662166405,192662166405,B07H2T76RK,New Balance,no,GB192662166405,https://www.google.com/search?q=192662166405+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Grey%2FCastlerock%2C+11.5+X-Wide&tbm=shop,https://www.amazon.com/dp/B0797D355T?psc=1,Y,"https://www.google.com/shopping/product/8942431131180688984/offers?q=192662166405&prds=cid:8942431131180688984,cond:1",Footwear etc.,192.9,327.93,364.58,,N
